config_id,language,target,context_id,instr_idx,persona_class,persona_idx,model_alias,model,ideology,quantization
67,english,men,1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
68,english,lgbtq+ people,2,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
69,english,muslims,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
70,english,muslims,1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
71,english,black people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
72,english,christians,0,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
73,english,muslims,1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
74,english,women,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
75,english,christians,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
76,english,lgbtq+ people,2,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
77,english,christians,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
78,english,muslims,2,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
79,english,jews,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
80,english,latinx people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
81,english,women,3,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
82,english,men,4,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
83,english,christians,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
84,english,muslims,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
85,english,christians,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
86,english,lgbtq+ people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
87,english,jews,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
88,english,white people,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
89,english,white people,2,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
90,english,jews,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
91,english,muslims,4,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
92,english,jews,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
93,english,jews,1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
94,english,black people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
95,english,men,3,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
96,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
97,english,asian people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
98,english,muslims,0,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
99,english,jews,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
100,english,latinx people,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
101,english,black people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
102,english,black people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
103,english,women,3,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
104,english,white people,3,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
105,english,men,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
106,english,men,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
107,english,men,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
108,english,asian people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
109,english,white people,1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
110,english,black people,2,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
111,english,white people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
112,english,muslims,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
113,english,christians,0,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
114,english,black people,4,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
115,english,white people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
116,english,asian people,4,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
117,english,muslims,3,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
118,english,jews,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
119,english,latinx people,0,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
120,english,asian people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
121,english,jews,2,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
122,english,asian people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
123,english,jews,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
124,english,lgbtq+ people,3,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
125,english,women,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
126,english,latinx people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
127,english,asian people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
128,english,black people,0,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
129,english,latinx people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
130,english,jews,3,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
131,english,women,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
132,english,men,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
133,english,muslims,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
134,english,white people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
135,english,lgbtq+ people,2,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
136,english,asian people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
137,english,muslims,1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
138,english,muslims,4,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
139,english,men,1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
140,english,women,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
141,english,black people,4,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
142,english,men,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
143,english,men,3,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
144,english,latinx people,4,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
145,english,muslims,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
146,english,latinx people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
147,english,lgbtq+ people,3,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
148,english,latinx people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
149,english,asian people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
150,english,women,4,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
151,english,men,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
152,english,men,3,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
153,english,black people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
154,english,latinx people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
155,english,black people,2,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
156,english,jews,2,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
157,english,asian people,0,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
158,english,white people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
159,english,latinx people,3,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
160,english,white people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
161,english,black people,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
162,english,women,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
163,english,white people,1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
164,english,christians,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
165,english,muslims,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
166,english,asian people,3,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
167,english,black people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
168,english,white people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
169,english,lgbtq+ people,1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
170,english,black people,4,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
171,english,christians,4,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
172,english,christians,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
173,english,muslims,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
174,english,muslims,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
175,english,asian people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
176,english,christians,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
177,english,christians,1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
178,english,asian people,0,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
179,english,men,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
180,english,jews,3,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
181,english,asian people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
182,english,latinx people,2,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
183,english,jews,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
184,english,christians,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
185,english,women,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
186,english,jews,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
187,english,lgbtq+ people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
188,english,lgbtq+ people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
189,english,women,3,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
190,english,women,4,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
191,english,white people,2,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
192,english,muslims,1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
193,english,lgbtq+ people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
194,english,asian people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
195,english,jews,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
196,english,jews,3,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
197,english,men,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
198,english,muslims,0,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
199,english,jews,2,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
200,english,muslims,2,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
201,english,jews,3,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
202,english,women,1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
203,english,latinx people,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
204,english,latinx people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
205,english,asian people,0,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
206,english,men,0,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
207,english,jews,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
208,english,white people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
209,english,lgbtq+ people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
210,english,christians,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
211,english,latinx people,2,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
212,english,muslims,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
213,english,women,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
214,english,women,0,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
215,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
216,english,muslims,4,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
217,english,men,1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
218,english,white people,4,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
219,english,christians,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
220,english,black people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
221,english,black people,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
222,english,white people,2,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
223,english,women,4,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
224,english,asian people,2,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
225,english,jews,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
226,english,white people,1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
227,english,women,4,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
228,english,lgbtq+ people,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
229,english,jews,2,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
230,english,asian people,1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
231,english,jews,3,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
232,english,christians,0,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
233,english,latinx people,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
234,english,black people,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
235,english,christians,3,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
236,english,black people,4,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
237,english,asian people,3,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
238,english,women,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
239,english,lgbtq+ people,1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
240,english,muslims,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
241,english,white people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
242,english,white people,1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
243,english,women,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
244,english,black people,1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
245,english,white people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
246,english,black people,0,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
247,english,women,3,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
248,english,jews,0,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
249,english,muslims,4,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
250,english,jews,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
251,english,christians,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
252,english,white people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
253,english,black people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
254,english,christians,4,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
255,english,men,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
256,english,jews,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
257,english,white people,2,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
258,english,lgbtq+ people,1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
259,english,jews,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
260,english,muslims,-1,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
261,english,white people,2,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
262,english,muslims,0,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
263,english,men,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
264,english,black people,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
265,english,christians,0,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
266,english,lgbtq+ people,3,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
267,english,christians,-1,2,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
268,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
269,english,black people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
270,english,lgbtq+ people,-1,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
271,english,black people,0,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
272,english,christians,1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
273,english,white people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
274,english,lgbtq+ people,3,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
275,english,black people,2,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
276,english,latinx people,0,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
277,english,men,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
278,english,muslims,1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
279,english,christians,2,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
280,english,christians,0,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
281,english,latinx people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
282,english,lgbtq+ people,-1,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
283,english,muslims,-1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
284,english,men,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
285,english,jews,1,7,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
286,english,christians,2,8,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
287,english,lgbtq+ people,-1,5,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
288,english,men,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
289,english,latinx people,-1,1,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
290,english,latinx people,-1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
291,english,black people,4,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
292,english,women,2,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
293,english,latinx people,-1,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
294,english,asian people,1,9,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
295,english,lgbtq+ people,1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
296,english,lgbtq+ people,2,6,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
297,english,latinx people,2,3,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
298,english,muslims,-1,0,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
299,english,black people,2,4,,-1,gemma-3-12b-it,google/gemma-3-12b-it,base,bf16
