method,question_id,question_pairs,four_way_agreement,binary_stance_agreement,mean_total_variation,mean_abs_expected_answer_delta
Chat Think,28,48,0.5,0.8125,0.5105276007914922,0.5251627048654952
Chat Think,29,48,0.5208333333333334,0.8333333333333334,0.4770196349397893,0.6541515160784863
Chat Think,30,48,0.3958333333333333,0.6458333333333334,0.676461161253208,0.6625962563996106
Chat Think,31,48,0.6041666666666666,0.7708333333333334,0.4344008624997837,0.6424860641047213
Chat Think,32,48,0.2708333333333333,0.5833333333333334,0.7106208658385257,0.7130324525952618
Chat Think,33,48,0.4583333333333333,0.8333333333333334,0.5874935370920836,0.6504326544682618
Chat Think,34,48,0.375,0.625,0.6729160181974811,0.804235207098503
Chat Think,35,48,0.3125,0.625,0.7020393702977361,0.5559353834162789
Chat Think,36,48,0.6458333333333334,0.8125,0.4146641142678605,0.6057594855758414
Chat Think,37,48,0.2708333333333333,0.5625,0.6662646913758279,0.8888399143777997
Chat Think,38,48,0.3125,0.5208333333333334,0.6965364353150326,0.9907505605732173
Chat Think,39,48,0.3958333333333333,0.625,0.60581553839564,0.7833023337032663
Chat Think,40,48,0.3541666666666667,0.5625,0.6285876910812702,0.8055703093489203
Chat Think,41,48,0.3125,0.6041666666666666,0.6543012654825714,0.7512092498843917
Chat Think,42,48,0.3541666666666667,0.4791666666666667,0.6771341545364122,1.0247608210433645
Chat Think,43,48,0.3125,0.7291666666666666,0.6571754605256027,0.7989466709923275
Chat Think,44,48,0.3958333333333333,0.7708333333333334,0.6274190437369449,0.7844404257860597
Chat Think,45,48,0.3333333333333333,0.7291666666666666,0.6384731732598817,0.7657707788009395
Chat Think,46,48,0.2916666666666667,0.625,0.6694633266674628,0.7274558730279773
Chat Think,47,48,0.2916666666666667,0.7083333333333334,0.6848428472228824,0.7413024075470137
Chat Think,48,48,0.3958333333333333,0.7708333333333334,0.5949776796446016,0.6967042815411677
Chat Think,49,48,0.4583333333333333,0.75,0.6146486673545838,0.7616415009427676
Chat Think,50,48,0.5208333333333334,0.8333333333333334,0.5739390580108809,0.6059166049992555
Chat Think,51,48,0.4375,0.7916666666666666,0.5796925163620485,0.777846292782462
Chat Think,52,48,0.5208333333333334,0.7291666666666666,0.5016327547864806,0.7226790664035952
Chat Think,53,48,0.375,0.7083333333333334,0.6226315133536459,0.7539689976168781
Chat Think,54,48,0.3333333333333333,0.5833333333333334,0.6908997033044982,0.6209686182104667
Chat Think,55,48,0.4166666666666667,0.6875,0.5998215109901445,0.6854338681448903
Chat Think,56,48,0.375,0.5416666666666666,0.6171318687915911,0.6756369087139369
Chat Think,57,48,0.6666666666666666,0.8541666666666666,0.4218968040811739,0.6845916744393454
Chat Think,58,48,0.5208333333333334,0.8333333333333334,0.5042865004259828,0.7927357377684728
Chat Think,59,48,0.4791666666666667,0.75,0.5263481704976258,0.8997884000664311
Chat Think,60,48,0.5,0.7708333333333334,0.5461883141460606,0.7214089848953843
Chat Think,61,48,0.375,0.6666666666666666,0.6197033728266986,0.6694902824240107
Standard Chat,0,96,0.5729166666666666,0.78125,0.45634810550538285,0.6709207910207774
Standard Chat,1,96,0.3333333333333333,0.5833333333333334,0.6274501960505481,0.9279019293524708
Standard Chat,2,96,0.4583333333333333,0.8020833333333334,0.5621339039679484,0.6907915179837992
Standard Chat,3,96,0.5416666666666666,0.6979166666666666,0.4871300121118925,0.8455788092516867
Standard Chat,4,96,0.40625,0.625,0.6534340963346753,0.8115988767536974
Standard Chat,5,96,0.375,0.5729166666666666,0.5996861974340245,0.7617362893561747
Standard Chat,6,96,0.4583333333333333,0.7083333333333334,0.5578105030257232,0.7072024536062661
Standard Chat,7,96,0.46875,0.7395833333333334,0.5587178706937127,0.7288344946364851
Standard Chat,8,96,0.46875,0.75,0.5722251385686924,0.8443351134103643
Standard Chat,9,96,0.3645833333333333,0.625,0.6274375321106945,0.891765619506446
Standard Chat,10,96,0.4895833333333333,0.71875,0.5868174452328933,0.8758026680035185
Standard Chat,11,96,0.3854166666666667,0.59375,0.6320015199747703,0.8531885709928089
Standard Chat,12,96,0.4479166666666667,0.6666666666666666,0.5593343527927732,0.7909832294181451
Standard Chat,13,96,0.5104166666666666,0.7604166666666666,0.5308275375871941,0.796354412737319
Standard Chat,14,96,0.40625,0.625,0.6347535784916998,0.8333293297571421
Standard Chat,15,96,0.4895833333333333,0.6979166666666666,0.5433295540858539,0.6081217010532617
Standard Chat,16,96,0.4479166666666667,0.6875,0.582736871794776,0.8990443153647222
Standard Chat,17,96,0.4166666666666667,0.59375,0.5936947979518831,0.9174302767983997
Standard Chat,18,96,0.3958333333333333,0.625,0.5981263958860187,0.7898755652383963
Standard Chat,19,96,0.4895833333333333,0.7395833333333334,0.5192540758569041,0.7492580299342477
Standard Chat,20,96,0.4479166666666667,0.7604166666666666,0.5819311779230285,0.7272518310888975
Standard Chat,21,96,0.4791666666666667,0.71875,0.5660071442429054,0.8812046050324046
Standard Chat,22,96,0.40625,0.6979166666666666,0.6088689123867962,0.7975419222944736
Standard Chat,23,96,0.4270833333333333,0.5729166666666666,0.5888292027448115,0.8485084984135455
Standard Chat,24,96,0.3958333333333333,0.6041666666666666,0.6315206936594845,0.9290594296777749
Standard Chat,25,96,0.40625,0.625,0.6114259579490514,0.9302456833431126
Standard Chat,26,96,0.4791666666666667,0.7604166666666666,0.5469849325891192,0.7218619169379465
Standard Chat,27,96,0.3958333333333333,0.5208333333333334,0.63890740015116,0.9734480430311057
Standard Chat,28,96,0.5833333333333334,0.7916666666666666,0.48087881954376194,0.6197290602527596
Standard Chat,29,96,0.4583333333333333,0.84375,0.5511493773052648,0.7482504303945564
Standard Chat,30,96,0.40625,0.65625,0.6159524823735323,0.813590084237893
Standard Chat,31,96,0.5416666666666666,0.6770833333333334,0.49638332772818305,0.8648308486144854
Standard Chat,32,96,0.3229166666666667,0.6145833333333334,0.6542102807435379,0.8369747404606841
Standard Chat,33,96,0.4791666666666667,0.8125,0.5389263304250046,0.70283848506695
Standard Chat,34,96,0.375,0.6041666666666666,0.6434145874621237,0.9421043895893355
Standard Chat,35,96,0.375,0.5520833333333334,0.6174198297039719,0.8054114479137456
Standard Chat,36,96,0.4895833333333333,0.75,0.5249520087085424,0.7466316561108682
Standard Chat,37,96,0.4166666666666667,0.6979166666666666,0.5893075126072554,0.7315256691877853
Standard Chat,38,96,0.4375,0.6145833333333334,0.6494265466516076,0.9534256908114949
Standard Chat,39,96,0.4375,0.65625,0.6013671685820626,0.778345575582566
Standard Chat,40,96,0.3645833333333333,0.5729166666666666,0.6312391285974293,0.9247490420511316
Standard Chat,41,96,0.3229166666666667,0.5833333333333334,0.6692702308855113,0.9443158003059459
Standard Chat,42,96,0.3541666666666667,0.6041666666666666,0.6413201274398754,0.9547424319050033
Standard Chat,43,96,0.4895833333333333,0.71875,0.5571240106463827,0.852109254831992
Standard Chat,44,96,0.3958333333333333,0.6145833333333334,0.6027841013990721,1.0341316892325476
Standard Chat,45,96,0.375,0.6354166666666666,0.6510747464153656,0.9019546091201279
Standard Chat,46,96,0.40625,0.59375,0.6302093291064798,0.9157630164146897
Standard Chat,47,96,0.3645833333333333,0.6145833333333334,0.6182324636756389,0.8545179184684445
Standard Chat,48,96,0.4270833333333333,0.6875,0.5960761715065305,0.8245011144976827
Standard Chat,49,96,0.4166666666666667,0.6875,0.6339253761392073,0.8534997114958113
Standard Chat,50,96,0.4583333333333333,0.6875,0.5789436962484422,0.7638285776765313
Standard Chat,51,96,0.34375,0.6458333333333334,0.6681434043863477,0.9410062473150692
Standard Chat,52,96,0.5104166666666666,0.7708333333333334,0.5143105861954231,0.7174491543887135
Standard Chat,53,96,0.46875,0.6875,0.5690296328062124,0.7358243382311004
Standard Chat,54,96,0.40625,0.6666666666666666,0.6085883332623002,0.7030549391699656
Standard Chat,55,96,0.3645833333333333,0.6145833333333334,0.6260866022871067,0.8750132283081239
Standard Chat,56,96,0.3958333333333333,0.5729166666666666,0.6255600699976503,0.8731526036964112
Standard Chat,57,96,0.59375,0.8020833333333334,0.4377469931038742,0.6792797149349442
Standard Chat,58,96,0.4791666666666667,0.7291666666666666,0.519562171589845,0.7892531306713694
Standard Chat,59,96,0.5208333333333334,0.7604166666666666,0.5095892808060462,0.725999739153751
Standard Chat,60,96,0.5729166666666666,0.75,0.47281058981208096,0.8320096249710959
Standard Chat,61,96,0.375,0.5729166666666666,0.6137090982889548,0.8222869717972193
