method,question_pairs,four_way_agreement,binary_stance_agreement,mean_total_variation,median_total_variation,mean_expected_answer_delta,scope,base_model,ideology
Chat Think,62,0.5645161290322581,0.5806451612903226,0.5497649144666902,0.5704003439454529,1.0656397478921715,method+base_model+ideology,Qwen3-32B,authoritarian_right
Chat Think,434,0.3847926267281106,0.6866359447004609,0.6038065042111499,0.6597983047396954,-0.04735905992502829,method+base_model+ideology,Qwen3-32B,base
Chat Think,62,0.06451612903225806,0.5161290322580645,0.8009469560066618,0.8296736032801948,0.6838133790316014,method+base_model+ideology,Qwen3-32B,centrism
Chat Think,62,0.7096774193548387,0.7096774193548387,0.4698624797653148,0.4217162185095338,0.3176088396034939,method+base_model+ideology,Qwen3-32B,libertarian_left
Chat Think,62,0.6774193548387096,0.8064516129032258,0.531943339316442,0.5380052619820199,0.11175784005358402,method+base_model+ideology,Qwen3-32B,libertarian_right
Chat Think,62,0.43548387096774194,0.7580645161290323,0.5715106909505914,0.7642275547713069,-0.6871729661988532,method+base_model+ideology,Qwen3-4B,authoritarian_left
Chat Think,62,0.6935483870967742,0.7580645161290323,0.3544727489875154,0.17197538321107253,-0.30379147346142205,method+base_model+ideology,Qwen3-4B,authoritarian_right
Chat Think,434,0.347926267281106,0.6082949308755761,0.6426043796204239,0.7257786987057405,-0.14997139222344924,method+base_model+ideology,Qwen3-4B,base
Chat Think,62,0.0967741935483871,0.7258064516129032,0.8611575940071574,0.9374799094792718,-0.8605016272111009,method+base_model+ideology,Qwen3-4B,centrism
Chat Think,62,0.532258064516129,0.7903225806451613,0.5234397164694344,0.47928055663210833,-0.5202846227015654,method+base_model+ideology,Qwen3-4B,libertarian_left
Chat Think,62,0.5,0.6774193548387096,0.5011152365647318,0.49487897098743705,-0.6316211415058157,method+base_model+ideology,Qwen3-4B,libertarian_right
Chat Think,62,0.4838709677419355,0.7419354838709677,0.6244215762571048,0.6321368374434453,0.11697657762190769,method+base_model+ideology,Qwen3-8B,authoritarian_left
Chat Think,62,0.532258064516129,0.8548387096774194,0.5912186475057111,0.5726749618020472,-0.03815441021227121,method+base_model+ideology,Qwen3-8B,authoritarian_right
Chat Think,434,0.391705069124424,0.7626728110599078,0.615385590929085,0.6762645181406646,-0.0712226547372206,method+base_model+ideology,Qwen3-8B,base
Chat Think,62,0.532258064516129,0.8870967741935484,0.5987424172744408,0.5980170091638668,-0.06911360120905416,method+base_model+ideology,Qwen3-8B,centrism
Chat Think,62,0.5806451612903226,0.9354838709677419,0.530088330256951,0.5072667547986425,0.02473257718935645,method+base_model+ideology,Qwen3-8B,libertarian_left
Chat Think,62,0.3870967741935484,0.8387096774193549,0.6736015240600185,0.8182614949440009,-0.05719514132852739,method+base_model+ideology,Qwen3-8B,libertarian_right
Standard Chat,62,0.6451612903225806,0.7580645161290323,0.47487893132936165,0.421726623115525,0.09343861194764845,method+base_model+ideology,Qwen3-14B,authoritarian_left
Standard Chat,62,0.6129032258064516,0.6612903225806451,0.5123117960832679,0.5673136967431017,0.14491677348039836,method+base_model+ideology,Qwen3-14B,authoritarian_right
Standard Chat,434,0.41244239631336405,0.6382488479262672,0.5879026914874597,0.6839643989477799,-0.05126372575478758,method+base_model+ideology,Qwen3-14B,base
Standard Chat,62,0.3870967741935484,0.8387096774193549,0.6755716213838799,0.7636672314294403,0.03843335787261775,method+base_model+ideology,Qwen3-14B,centrism
Standard Chat,62,0.8225806451612904,0.9193548387096774,0.36112431109263904,0.29706343185028483,-0.060709447679879944,method+base_model+ideology,Qwen3-14B,libertarian_left
Standard Chat,62,0.6129032258064516,0.7741935483870968,0.5371441969623199,0.45456500600054967,-0.3698104874808633,method+base_model+ideology,Qwen3-14B,libertarian_right
Standard Chat,62,0.41935483870967744,0.5645161290322581,0.6466187511985236,0.7464856830149558,0.7499686454502509,method+base_model+ideology,Qwen3-32B,authoritarian_left
Standard Chat,62,0.46774193548387094,0.532258064516129,0.6110905808591867,0.6511143211063848,1.2128293421088123,method+base_model+ideology,Qwen3-32B,authoritarian_right
Standard Chat,434,0.43317972350230416,0.6774193548387096,0.5826487830155104,0.6383588282525922,0.09264858819431661,method+base_model+ideology,Qwen3-32B,base
Standard Chat,62,0.12903225806451613,0.5806451612903226,0.7509138157010704,0.80336207763834,0.6119061770072632,method+base_model+ideology,Qwen3-32B,centrism
Standard Chat,62,0.6451612903225806,0.7419354838709677,0.47883797850926807,0.40714567085324926,0.4017193801805218,method+base_model+ideology,Qwen3-32B,libertarian_left
Standard Chat,62,0.4838709677419355,0.7096774193548387,0.5808194344849629,0.6676011515924225,0.5715935142539712,method+base_model+ideology,Qwen3-32B,libertarian_right
Standard Chat,62,0.6774193548387096,0.9838709677419355,0.3788949176582444,0.1392069482429361,-0.009807998009800145,method+base_model+ideology,Qwen3-4B,authoritarian_left
Standard Chat,62,0.9193548387096774,0.9516129032258065,0.19606055826059274,0.11289761317133185,0.24445154399418997,method+base_model+ideology,Qwen3-4B,authoritarian_right
Standard Chat,434,0.37327188940092165,0.5737327188940092,0.6144710904899541,0.6553601119753194,-0.14307273220797645,method+base_model+ideology,Qwen3-4B,base
Standard Chat,62,0.14516129032258066,0.9354838709677419,0.8046532000550367,0.9004926715905368,-0.683246617414892,method+base_model+ideology,Qwen3-4B,centrism
Standard Chat,62,0.6129032258064516,0.9032258064516129,0.45541609336477246,0.34074717795257414,-0.39135231903430134,method+base_model+ideology,Qwen3-4B,libertarian_left
Standard Chat,62,0.8064516129032258,0.9032258064516129,0.29504067336932055,0.20055068768250725,0.013443750251029693,method+base_model+ideology,Qwen3-4B,libertarian_right
Standard Chat,62,0.6129032258064516,0.8064516129032258,0.5529341406025724,0.5819995864664909,0.08499129307144701,method+base_model+ideology,Qwen3-8B,authoritarian_left
Standard Chat,62,0.5,0.9193548387096774,0.5874974562452532,0.6075324286747745,-0.07123355307570688,method+base_model+ideology,Qwen3-8B,authoritarian_right
Standard Chat,434,0.4423963133640553,0.7488479262672811,0.5955706633954979,0.6283402477272222,-0.16245929120152355,method+base_model+ideology,Qwen3-8B,base
Standard Chat,62,0.7096774193548387,0.9354838709677419,0.5218509015990809,0.49426267014770814,0.04399609908364405,method+base_model+ideology,Qwen3-8B,centrism
Standard Chat,62,0.5967741935483871,0.8387096774193549,0.4561493872408164,0.48695419522379957,-0.039760889704738595,method+base_model+ideology,Qwen3-8B,libertarian_left
Standard Chat,62,0.5,0.8870967741935484,0.6004131056033183,0.6208106419886326,-0.08759580476742482,method+base_model+ideology,Qwen3-8B,libertarian_right
Standard Chat,62,0.46774193548387094,0.7903225806451613,0.5664127335276842,0.8135757160999415,-0.10018006678299606,method+base_model+ideology,gemma-3-12b-it,authoritarian_left
Standard Chat,62,0.5645161290322581,0.9032258064516129,0.44267070081697896,0.17434926411319407,0.19454857606136655,method+base_model+ideology,gemma-3-12b-it,authoritarian_right
Standard Chat,434,0.44930875576036866,0.6428571428571429,0.5664439802888113,0.6115931613373964,-0.4045735858349971,method+base_model+ideology,gemma-3-12b-it,base
Standard Chat,62,0.8225806451612904,0.8387096774193549,0.23752071892184215,0.07681963308756404,-0.1739580358389688,method+base_model+ideology,gemma-3-12b-it,centrism
Standard Chat,62,0.6290322580645161,0.8709677419354839,0.4261874324899138,0.3008620042172544,0.07134413832829628,method+base_model+ideology,gemma-3-12b-it,libertarian_left
Standard Chat,62,0.6290322580645161,0.8548387096774194,0.3952377729297254,0.1358217330337363,0.011082472895828173,method+base_model+ideology,gemma-3-12b-it,libertarian_right
Standard Chat,62,0.3064516129032258,0.3225806451612903,0.6820039297221688,0.9323198122845435,1.3537061195601705,method+base_model+ideology,gemma-3-1b-it,authoritarian_left
Standard Chat,62,0.25806451612903225,0.25806451612903225,0.7229860887410354,0.9281327080915576,1.4384334479945455,method+base_model+ideology,gemma-3-1b-it,authoritarian_right
Standard Chat,434,0.22580645161290322,0.6175115207373272,0.7283178640848531,0.923249308676156,-0.3563571912970619,method+base_model+ideology,gemma-3-1b-it,base
Standard Chat,62,0.5645161290322581,0.5645161290322581,0.4091706813211761,0.39997235263015396,0.72657614623197,method+base_model+ideology,gemma-3-1b-it,centrism
Standard Chat,62,0.11290322580645161,0.12903225806451613,0.7949198023268393,0.8926732417726937,1.5368866706445556,method+base_model+ideology,gemma-3-1b-it,libertarian_left
Standard Chat,62,0.08064516129032258,0.08064516129032258,0.8155566814468489,0.8796001035685084,1.5849069120825177,method+base_model+ideology,gemma-3-1b-it,libertarian_right
Standard Chat,62,0.7903225806451613,0.8225806451612904,0.22748613809086654,0.011983944461484906,0.08289769313068628,method+base_model+ideology,gemma-3-27b-it,authoritarian_left
Standard Chat,62,0.9516129032258065,0.967741935483871,0.05960511183618478,0.0004733995989298695,0.05311767764062886,method+base_model+ideology,gemma-3-27b-it,authoritarian_right
Standard Chat,434,0.42857142857142855,0.6175115207373272,0.5917282990103812,0.5630390169934405,-0.1752260733205543,method+base_model+ideology,gemma-3-27b-it,base
Standard Chat,62,0.3709677419354839,0.6451612903225806,0.6376313261856071,0.9206400253106806,0.0007713528973110491,method+base_model+ideology,gemma-3-27b-it,centrism
Standard Chat,62,0.8225806451612904,0.8709677419354839,0.17873377354489334,0.0003060234488271899,-0.19994705788537614,method+base_model+ideology,gemma-3-27b-it,libertarian_left
Standard Chat,62,0.7580645161290323,0.8387096774193549,0.2375198008781116,0.0015495621058990708,0.06879855666538359,method+base_model+ideology,gemma-3-27b-it,libertarian_right
Standard Chat,62,0.03225806451612903,0.2903225806451613,0.9670125453476318,0.9993451292536814,1.738299737200882,method+base_model+ideology,gemma-3-4b-it,authoritarian_left
Standard Chat,62,0.06451612903225806,0.46774193548387094,0.9339143287474039,0.9981357571897501,1.5340742121085253,method+base_model+ideology,gemma-3-4b-it,authoritarian_right
Standard Chat,434,0.4032258064516129,0.6612903225806451,0.6014790595159479,0.6834666672171099,-0.09838579844002167,method+base_model+ideology,gemma-3-4b-it,base
Standard Chat,62,0.03225806451612903,0.45161290322580644,0.9648326886700872,0.9987316174463406,1.505632740206687,method+base_model+ideology,gemma-3-4b-it,centrism
Standard Chat,62,0.0967741935483871,0.5161290322580645,0.9024561085116124,0.9995286536162495,1.525132429069287,method+base_model+ideology,gemma-3-4b-it,libertarian_left
Standard Chat,62,0.11290322580645161,0.6935483870967742,0.8860981566010566,0.9992412878938861,1.2295447298063618,method+base_model+ideology,gemma-3-4b-it,libertarian_right
