language,target,context_id,instr_idx,persona_class,persona_idx,model,ideology,config_id
english,jews,2,9,,,google/gemma-3-12b-it,base,121
english,asian people,,2,,,google/gemma-3-12b-it,base,122
english,jews,,0,,,google/gemma-3-12b-it,base,123
english,lgbtq+ people,3,2,,,google/gemma-3-12b-it,base,124
english,women,,8,,,google/gemma-3-12b-it,base,125
english,latinx people,,4,,,google/gemma-3-12b-it,base,126
english,asian people,,9,,,google/gemma-3-12b-it,base,127
english,black people,0,7,,,google/gemma-3-12b-it,base,128
english,latinx people,,2,,,google/gemma-3-12b-it,base,129
english,jews,3,9,,,google/gemma-3-12b-it,base,130
english,women,,4,,,google/gemma-3-12b-it,base,131
english,men,0,6,,,google/gemma-3-12b-it,base,132
english,muslims,,8,,,google/gemma-3-12b-it,base,133
english,white people,,9,,,google/gemma-3-12b-it,base,134
english,lgbtq+ people,2,5,,,google/gemma-3-12b-it,base,135
english,asian people,,7,,,google/gemma-3-12b-it,base,136
english,muslims,1,8,,,google/gemma-3-12b-it,base,137
english,muslims,4,6,,,google/gemma-3-12b-it,base,138
english,men,1,7,,,google/gemma-3-12b-it,base,139
english,women,,2,,,google/gemma-3-12b-it,base,140
english,black people,4,3,,,google/gemma-3-12b-it,base,141
english,men,4,9,,,google/gemma-3-12b-it,base,142
english,men,3,7,,,google/gemma-3-12b-it,base,143
english,latinx people,4,6,,,google/gemma-3-12b-it,base,144
english,muslims,4,9,,,google/gemma-3-12b-it,base,145
english,latinx people,,6,,,google/gemma-3-12b-it,base,146
english,lgbtq+ people,3,8,,,google/gemma-3-12b-it,base,147
english,latinx people,,5,,,google/gemma-3-12b-it,base,148
english,asian people,,2,,,google/gemma-3-12b-it,base,149
english,women,4,5,,,google/gemma-3-12b-it,base,150
english,men,,6,,,google/gemma-3-12b-it,base,151
english,men,3,7,,,google/gemma-3-12b-it,base,152
english,black people,,5,,,google/gemma-3-12b-it,base,153
english,latinx people,,3,,,google/gemma-3-12b-it,base,154
english,black people,2,8,,,google/gemma-3-12b-it,base,155
english,jews,2,9,,,google/gemma-3-12b-it,base,156
english,asian people,0,2,,,google/gemma-3-12b-it,base,157
english,white people,,4,,,google/gemma-3-12b-it,base,158
english,latinx people,3,8,,,google/gemma-3-12b-it,base,159
english,white people,,3,,,google/gemma-3-12b-it,base,160
english,black people,,8,,,google/gemma-3-12b-it,base,161
english,women,,1,,,google/gemma-3-12b-it,base,162
english,white people,1,4,,,google/gemma-3-12b-it,base,163
english,christians,0,6,,,google/gemma-3-12b-it,base,164
english,muslims,,6,,,google/gemma-3-12b-it,base,165
english,asian people,3,7,,,google/gemma-3-12b-it,base,166
english,black people,,0,,,google/gemma-3-12b-it,base,167
english,white people,,0,,,google/gemma-3-12b-it,base,168
english,lgbtq+ people,1,1,,,google/gemma-3-12b-it,base,169
english,black people,4,5,,,google/gemma-3-12b-it,base,170
english,christians,4,1,,,google/gemma-3-12b-it,base,171
english,christians,,3,,,google/gemma-3-12b-it,base,172
english,muslims,0,6,,,google/gemma-3-12b-it,base,173
english,muslims,,3,,,google/gemma-3-12b-it,base,174
english,asian people,,6,,,google/gemma-3-12b-it,base,175
english,christians,,4,,,google/gemma-3-12b-it,base,176
english,christians,1,6,,,google/gemma-3-12b-it,base,177
english,asian people,0,0,,,google/gemma-3-12b-it,base,178
english,men,,7,,,google/gemma-3-12b-it,base,179
english,jews,3,3,,,google/gemma-3-12b-it,base,180
english,asian people,,2,,,google/gemma-3-12b-it,base,181
english,latinx people,2,0,,,google/gemma-3-12b-it,base,182
english,jews,,9,,,google/gemma-3-12b-it,base,183
english,christians,0,6,,,google/gemma-3-12b-it,base,184
english,women,,2,,,google/gemma-3-12b-it,base,185
english,jews,,2,,,google/gemma-3-12b-it,base,186
english,lgbtq+ people,,7,,,google/gemma-3-12b-it,base,187
english,lgbtq+ people,,0,,,google/gemma-3-12b-it,base,188
english,women,3,5,,,google/gemma-3-12b-it,base,189
english,women,4,1,,,google/gemma-3-12b-it,base,190
english,white people,2,9,,,google/gemma-3-12b-it,base,191
english,muslims,1,2,,,google/gemma-3-12b-it,base,192
english,lgbtq+ people,,5,,,google/gemma-3-12b-it,base,193
english,asian people,,0,,,google/gemma-3-12b-it,base,194
english,jews,,3,,,google/gemma-3-12b-it,base,195
english,jews,3,8,,,google/gemma-3-12b-it,base,196
english,men,,4,,,google/gemma-3-12b-it,base,197
english,muslims,0,8,,,google/gemma-3-12b-it,base,198
english,jews,2,2,,,google/gemma-3-12b-it,base,199
english,muslims,2,5,,,google/gemma-3-12b-it,base,200
english,jews,3,9,,,google/gemma-3-12b-it,base,201
english,women,1,2,,,google/gemma-3-12b-it,base,202
english,latinx people,,0,,,google/gemma-3-12b-it,base,203
english,latinx people,,9,,,google/gemma-3-12b-it,base,204
english,asian people,0,0,,,google/gemma-3-12b-it,base,205
english,men,0,1,,,google/gemma-3-12b-it,base,206
english,jews,,8,,,google/gemma-3-12b-it,base,207
english,white people,,2,,,google/gemma-3-12b-it,base,208
english,lgbtq+ people,,2,,,google/gemma-3-12b-it,base,209
english,christians,,8,,,google/gemma-3-12b-it,base,210
english,latinx people,2,1,,,google/gemma-3-12b-it,base,211
english,muslims,,0,,,google/gemma-3-12b-it,base,212
english,women,,6,,,google/gemma-3-12b-it,base,213
english,women,0,1,,,google/gemma-3-12b-it,base,214
english,men,,5,,,google/gemma-3-12b-it,base,215
english,muslims,4,5,,,google/gemma-3-12b-it,base,216
english,men,1,4,,,google/gemma-3-12b-it,base,217
english,white people,4,4,,,google/gemma-3-12b-it,base,218
english,christians,,0,,,google/gemma-3-12b-it,base,219
english,black people,,4,,,google/gemma-3-12b-it,base,220
english,black people,,2,,,google/gemma-3-12b-it,base,221
english,white people,2,2,,,google/gemma-3-12b-it,base,222
english,women,4,4,,,google/gemma-3-12b-it,base,223
english,asian people,2,0,,,google/gemma-3-12b-it,base,224
english,jews,,1,,,google/gemma-3-12b-it,base,225
english,white people,1,7,,,google/gemma-3-12b-it,base,226
english,women,4,1,,,google/gemma-3-12b-it,base,227
english,lgbtq+ people,,8,,,google/gemma-3-12b-it,base,228
english,jews,2,7,,,google/gemma-3-12b-it,base,229
english,asian people,1,4,,,google/gemma-3-12b-it,base,230
english,jews,3,3,,,google/gemma-3-12b-it,base,231
english,christians,0,5,,,google/gemma-3-12b-it,base,232
english,latinx people,,8,,,google/gemma-3-12b-it,base,233
english,black people,4,9,,,google/gemma-3-12b-it,base,234
english,christians,3,3,,,google/gemma-3-12b-it,base,235
english,black people,4,5,,,google/gemma-3-12b-it,base,236
english,asian people,3,7,,,google/gemma-3-12b-it,base,237
english,women,,7,,,google/gemma-3-12b-it,base,238
english,lgbtq+ people,1,1,,,google/gemma-3-12b-it,base,239
english,muslims,,2,,,google/gemma-3-12b-it,base,240
english,white people,,6,,,google/gemma-3-12b-it,base,241
english,white people,1,1,,,google/gemma-3-12b-it,base,242
english,women,,8,,,google/gemma-3-12b-it,base,243
english,black people,1,9,,,google/gemma-3-12b-it,base,244
english,white people,,7,,,google/gemma-3-12b-it,base,245
english,black people,0,5,,,google/gemma-3-12b-it,base,246
english,women,3,0,,,google/gemma-3-12b-it,base,247
english,jews,0,1,,,google/gemma-3-12b-it,base,248
english,muslims,4,1,,,google/gemma-3-12b-it,base,249
english,jews,,0,,,google/gemma-3-12b-it,base,250
english,christians,,4,,,google/gemma-3-12b-it,base,251
english,white people,,4,,,google/gemma-3-12b-it,base,252
english,black people,,7,,,google/gemma-3-12b-it,base,253
english,christians,4,2,,,google/gemma-3-12b-it,base,254
english,men,,9,,,google/gemma-3-12b-it,base,255
english,jews,,0,,,google/gemma-3-12b-it,base,256
english,white people,2,5,,,google/gemma-3-12b-it,base,257
english,lgbtq+ people,1,8,,,google/gemma-3-12b-it,base,258
english,jews,,4,,,google/gemma-3-12b-it,base,259
english,muslims,,8,,,google/gemma-3-12b-it,base,260
english,white people,2,2,,,google/gemma-3-12b-it,base,261
english,muslims,0,4,,,google/gemma-3-12b-it,base,262
english,men,,7,,,google/gemma-3-12b-it,base,263
english,black people,,7,,,google/gemma-3-12b-it,base,264
english,christians,0,0,,,google/gemma-3-12b-it,base,265
english,lgbtq+ people,3,5,,,google/gemma-3-12b-it,base,266
english,christians,,2,,,google/gemma-3-12b-it,base,267
english,men,,5,,,google/gemma-3-12b-it,base,268
english,black people,,3,,,google/gemma-3-12b-it,base,269
english,lgbtq+ people,,3,,,google/gemma-3-12b-it,base,270
english,black people,0,6,,,google/gemma-3-12b-it,base,271
english,christians,1,9,,,google/gemma-3-12b-it,base,272
english,white people,,9,,,google/gemma-3-12b-it,base,273
english,lgbtq+ people,3,4,,,google/gemma-3-12b-it,base,274
english,black people,2,3,,,google/gemma-3-12b-it,base,275
english,latinx people,0,9,,,google/gemma-3-12b-it,base,276
english,men,,7,,,google/gemma-3-12b-it,base,277
english,muslims,1,1,,,google/gemma-3-12b-it,base,278
english,christians,2,8,,,google/gemma-3-12b-it,base,279
english,christians,0,5,,,google/gemma-3-12b-it,base,280
english,latinx people,,6,,,google/gemma-3-12b-it,base,281
english,lgbtq+ people,,4,,,google/gemma-3-12b-it,base,282
english,muslims,,7,,,google/gemma-3-12b-it,base,283
english,men,,5,,,google/gemma-3-12b-it,base,284
english,jews,1,7,,,google/gemma-3-12b-it,base,285
english,christians,2,8,,,google/gemma-3-12b-it,base,286
english,lgbtq+ people,,5,,,google/gemma-3-12b-it,base,287
english,men,,0,,,google/gemma-3-12b-it,base,288
english,latinx people,,1,,,google/gemma-3-12b-it,base,289
english,latinx people,,9,,,google/gemma-3-12b-it,base,290
english,black people,4,9,,,google/gemma-3-12b-it,base,291
english,women,2,6,,,google/gemma-3-12b-it,base,292
english,latinx people,,6,,,google/gemma-3-12b-it,base,293
english,asian people,1,9,,,google/gemma-3-12b-it,base,294
english,lgbtq+ people,1,0,,,google/gemma-3-12b-it,base,295
english,lgbtq+ people,2,6,,,google/gemma-3-12b-it,base,296
english,latinx people,2,3,,,google/gemma-3-12b-it,base,297
english,muslims,,0,,,google/gemma-3-12b-it,base,298
english,black people,2,4,,,google/gemma-3-12b-it,base,299
english,asian people,4,8,short,4,google/gemma-3-12b-it,libertarian_right,300
english,women,,1,long,3,google/gemma-3-12b-it,libertarian_right,301
english,women,2,8,long,2,google/gemma-3-12b-it,libertarian_right,302
english,asian people,,7,long,2,google/gemma-3-12b-it,libertarian_right,303
english,women,2,6,short,0,google/gemma-3-12b-it,libertarian_right,304
english,christians,,8,long,3,google/gemma-3-12b-it,libertarian_right,305
english,men,4,5,long,0,google/gemma-3-12b-it,libertarian_right,306
english,christians,,6,short,4,google/gemma-3-12b-it,libertarian_right,307
english,jews,1,2,short,0,google/gemma-3-12b-it,libertarian_right,308
english,women,,1,short,0,google/gemma-3-12b-it,libertarian_right,309
english,christians,0,0,short,1,google/gemma-3-12b-it,libertarian_right,310
english,jews,,4,short,4,google/gemma-3-12b-it,libertarian_right,311
english,lgbtq+ people,4,6,long,3,google/gemma-3-12b-it,libertarian_right,312
english,lgbtq+ people,0,1,short,4,google/gemma-3-12b-it,libertarian_right,313
english,latinx people,,1,short,3,google/gemma-3-12b-it,libertarian_right,314
english,latinx people,1,8,long,0,google/gemma-3-12b-it,libertarian_right,315
english,asian people,,2,short,0,google/gemma-3-12b-it,libertarian_right,316
english,christians,,4,short,2,google/gemma-3-12b-it,libertarian_right,317
english,white people,3,5,long,4,google/gemma-3-12b-it,libertarian_right,318
english,lgbtq+ people,,4,long,0,google/gemma-3-12b-it,libertarian_right,319
english,asian people,,3,short,1,google/gemma-3-12b-it,libertarian_right,320
english,white people,,8,long,4,google/gemma-3-12b-it,libertarian_right,321
english,asian people,4,3,long,1,google/gemma-3-12b-it,libertarian_right,322
english,white people,,0,short,0,google/gemma-3-12b-it,libertarian_right,323
english,white people,1,7,short,4,google/gemma-3-12b-it,libertarian_right,324
english,men,,5,long,1,google/gemma-3-12b-it,libertarian_right,325
english,latinx people,,4,long,2,google/gemma-3-12b-it,libertarian_right,326
english,white people,,1,short,2,google/gemma-3-12b-it,libertarian_right,327
english,christians,1,7,short,4,google/gemma-3-12b-it,libertarian_right,328
english,lgbtq+ people,4,3,long,3,google/gemma-3-12b-it,libertarian_right,329
english,christians,,4,short,2,google/gemma-3-12b-it,libertarian_right,330
english,lgbtq+ people,,5,short,0,google/gemma-3-12b-it,libertarian_right,331
english,asian people,2,9,short,4,google/gemma-3-12b-it,libertarian_right,332
english,black people,,1,short,0,google/gemma-3-12b-it,libertarian_right,333
english,white people,,5,short,3,google/gemma-3-12b-it,libertarian_right,334
english,lgbtq+ people,3,8,long,1,google/gemma-3-12b-it,libertarian_right,335
english,black people,2,6,long,1,google/gemma-3-12b-it,libertarian_right,336
english,latinx people,0,2,long,3,google/gemma-3-12b-it,libertarian_right,337
english,latinx people,4,9,short,4,google/gemma-3-12b-it,libertarian_right,338
english,lgbtq+ people,3,1,short,4,google/gemma-3-12b-it,libertarian_right,339
english,men,4,2,long,1,google/gemma-3-12b-it,libertarian_right,340
english,muslims,,2,long,0,google/gemma-3-12b-it,libertarian_right,341
english,women,3,2,long,2,google/gemma-3-12b-it,libertarian_right,342
english,latinx people,,3,short,1,google/gemma-3-12b-it,libertarian_right,343
english,asian people,,3,long,2,google/gemma-3-12b-it,libertarian_right,344
english,black people,,6,long,1,google/gemma-3-12b-it,libertarian_right,345
english,lgbtq+ people,0,8,short,4,google/gemma-3-12b-it,libertarian_right,346
english,asian people,,3,long,1,google/gemma-3-12b-it,libertarian_right,347
english,latinx people,3,0,long,4,google/gemma-3-12b-it,libertarian_right,348
english,women,,3,short,4,google/gemma-3-12b-it,libertarian_right,349
english,asian people,1,3,short,3,google/gemma-3-12b-it,libertarian_right,350
english,latinx people,,3,long,1,google/gemma-3-12b-it,libertarian_right,351
english,white people,,7,short,4,google/gemma-3-12b-it,libertarian_right,352
english,women,0,7,long,2,google/gemma-3-12b-it,libertarian_right,353
english,men,,6,short,3,google/gemma-3-12b-it,libertarian_right,354
english,lgbtq+ people,,4,long,0,google/gemma-3-12b-it,libertarian_right,355
english,women,0,4,long,1,google/gemma-3-12b-it,libertarian_right,356
english,muslims,,1,long,3,google/gemma-3-12b-it,libertarian_right,357
english,jews,,0,short,1,google/gemma-3-12b-it,libertarian_right,358
english,women,3,7,short,1,google/gemma-3-12b-it,libertarian_right,359
english,men,,9,short,2,google/gemma-3-12b-it,libertarian_right,360
english,latinx people,3,1,long,2,google/gemma-3-12b-it,libertarian_right,361
english,asian people,3,2,short,2,google/gemma-3-12b-it,libertarian_right,362
english,women,,0,long,2,google/gemma-3-12b-it,libertarian_right,363
english,men,,5,long,1,google/gemma-3-12b-it,libertarian_right,364
english,black people,1,2,short,3,google/gemma-3-12b-it,libertarian_right,365
english,asian people,,0,short,0,google/gemma-3-12b-it,libertarian_right,366
english,men,1,9,short,2,google/gemma-3-12b-it,libertarian_right,367
english,lgbtq+ people,2,1,long,3,google/gemma-3-12b-it,libertarian_right,368
english,muslims,,0,short,3,google/gemma-3-12b-it,libertarian_right,369
english,muslims,1,5,short,2,google/gemma-3-12b-it,libertarian_right,370
english,black people,,7,long,3,google/gemma-3-12b-it,libertarian_right,371
english,christians,0,7,long,4,google/gemma-3-12b-it,libertarian_right,372
english,muslims,1,1,short,2,google/gemma-3-12b-it,libertarian_right,373
english,women,,6,short,0,google/gemma-3-12b-it,libertarian_right,374
english,christians,,1,long,3,google/gemma-3-12b-it,libertarian_right,375
english,lgbtq+ people,2,5,short,3,google/gemma-3-12b-it,libertarian_right,376
english,christians,,3,short,2,google/gemma-3-12b-it,libertarian_right,377
english,muslims,2,6,long,0,google/gemma-3-12b-it,libertarian_right,378
english,jews,,3,long,0,google/gemma-3-12b-it,libertarian_right,379
english,latinx people,,2,long,3,google/gemma-3-12b-it,libertarian_right,380
english,women,3,0,short,2,google/gemma-3-12b-it,libertarian_right,381
english,men,4,8,short,1,google/gemma-3-12b-it,libertarian_right,382
english,christians,,3,short,3,google/gemma-3-12b-it,libertarian_right,383
english,muslims,,5,long,2,google/gemma-3-12b-it,libertarian_right,384
english,christians,,4,long,0,google/gemma-3-12b-it,libertarian_right,385
english,lgbtq+ people,,9,long,4,google/gemma-3-12b-it,libertarian_right,386
english,jews,,6,long,3,google/gemma-3-12b-it,libertarian_right,387
english,white people,,8,long,4,google/gemma-3-12b-it,libertarian_right,388
english,white people,2,7,short,0,google/gemma-3-12b-it,libertarian_right,389
english,jews,,4,short,4,google/gemma-3-12b-it,libertarian_right,390
english,muslims,4,4,long,3,google/gemma-3-12b-it,libertarian_right,391
english,jews,,5,long,1,google/gemma-3-12b-it,libertarian_right,392
english,jews,1,0,long,2,google/gemma-3-12b-it,libertarian_right,393
english,black people,,3,short,2,google/gemma-3-12b-it,libertarian_right,394
english,men,3,0,short,4,google/gemma-3-12b-it,libertarian_right,395
english,men,,5,long,1,google/gemma-3-12b-it,libertarian_right,396
english,asian people,,9,short,2,google/gemma-3-12b-it,libertarian_right,397
english,muslims,0,8,long,0,google/gemma-3-12b-it,libertarian_right,398
english,jews,,9,short,4,google/gemma-3-12b-it,libertarian_right,399
english,latinx people,0,6,long,3,google/gemma-3-12b-it,libertarian_right,400
english,black people,,6,long,3,google/gemma-3-12b-it,libertarian_right,401
english,black people,,3,short,0,google/gemma-3-12b-it,libertarian_right,402
english,women,3,0,short,3,google/gemma-3-12b-it,libertarian_right,403
english,white people,3,2,short,3,google/gemma-3-12b-it,libertarian_right,404
english,men,,6,long,1,google/gemma-3-12b-it,libertarian_right,405
english,men,4,9,long,2,google/gemma-3-12b-it,libertarian_right,406
english,men,,4,long,1,google/gemma-3-12b-it,libertarian_right,407
english,asian people,,9,long,3,google/gemma-3-12b-it,libertarian_right,408
english,white people,1,8,long,0,google/gemma-3-12b-it,libertarian_right,409
english,black people,2,3,long,2,google/gemma-3-12b-it,libertarian_right,410
english,white people,,1,short,2,google/gemma-3-12b-it,libertarian_right,411
english,muslims,,9,long,1,google/gemma-3-12b-it,libertarian_right,412
english,christians,0,1,long,0,google/gemma-3-12b-it,libertarian_right,413
english,black people,4,8,short,4,google/gemma-3-12b-it,libertarian_right,414
english,white people,,1,long,0,google/gemma-3-12b-it,libertarian_right,415
english,asian people,4,4,long,0,google/gemma-3-12b-it,libertarian_right,416
english,muslims,3,3,long,4,google/gemma-3-12b-it,libertarian_right,417
english,jews,,7,long,1,google/gemma-3-12b-it,libertarian_right,418
english,latinx people,0,3,short,3,google/gemma-3-12b-it,libertarian_right,419
english,asian people,,7,short,2,google/gemma-3-12b-it,libertarian_right,420
english,jews,2,9,short,2,google/gemma-3-12b-it,libertarian_right,421
english,asian people,,2,short,3,google/gemma-3-12b-it,libertarian_right,422
english,jews,,0,long,2,google/gemma-3-12b-it,libertarian_right,423
english,lgbtq+ people,3,2,short,4,google/gemma-3-12b-it,libertarian_right,424
english,women,,8,short,4,google/gemma-3-12b-it,libertarian_right,425
english,latinx people,,4,long,4,google/gemma-3-12b-it,libertarian_right,426
english,asian people,,9,long,3,google/gemma-3-12b-it,libertarian_right,427
english,black people,0,7,short,0,google/gemma-3-12b-it,libertarian_right,428
english,latinx people,,2,short,4,google/gemma-3-12b-it,libertarian_right,429
english,jews,3,9,short,1,google/gemma-3-12b-it,libertarian_right,430
english,women,,4,long,2,google/gemma-3-12b-it,libertarian_right,431
english,men,0,6,long,4,google/gemma-3-12b-it,libertarian_right,432
english,muslims,,8,short,3,google/gemma-3-12b-it,libertarian_right,433
english,white people,,9,short,1,google/gemma-3-12b-it,libertarian_right,434
english,lgbtq+ people,2,5,long,0,google/gemma-3-12b-it,libertarian_right,435
english,asian people,,7,short,1,google/gemma-3-12b-it,libertarian_right,436
english,muslims,1,8,long,1,google/gemma-3-12b-it,libertarian_right,437
english,muslims,4,6,long,3,google/gemma-3-12b-it,libertarian_right,438
english,men,1,7,long,0,google/gemma-3-12b-it,libertarian_right,439
english,women,,2,long,2,google/gemma-3-12b-it,libertarian_right,440
english,black people,4,3,long,3,google/gemma-3-12b-it,libertarian_right,441
english,men,4,9,long,4,google/gemma-3-12b-it,libertarian_right,442
english,men,3,7,long,0,google/gemma-3-12b-it,libertarian_right,443
english,latinx people,4,6,short,0,google/gemma-3-12b-it,libertarian_right,444
english,muslims,4,9,short,1,google/gemma-3-12b-it,libertarian_right,445
english,latinx people,,6,short,2,google/gemma-3-12b-it,libertarian_right,446
english,lgbtq+ people,3,8,short,4,google/gemma-3-12b-it,libertarian_right,447
english,latinx people,,5,long,3,google/gemma-3-12b-it,libertarian_right,448
english,asian people,,2,long,3,google/gemma-3-12b-it,libertarian_right,449
english,women,4,5,long,2,google/gemma-3-12b-it,libertarian_right,450
english,men,,6,short,3,google/gemma-3-12b-it,libertarian_right,451
english,men,3,7,long,0,google/gemma-3-12b-it,libertarian_right,452
english,black people,,5,short,3,google/gemma-3-12b-it,libertarian_right,453
