pair_model,ideology,question_id,topic_no_think,both_aligned,both_unaligned,not_comparable,think_harm,think_rescue,both_correct,both_incorrect,n,net_rescue_rate,localized
Qwen3-14B,authoritarian_left,33,race_culture,92,82,0,81,45,0,0,126,-0.2857142857142857,True
Qwen3-14B,authoritarian_left,34,welfare_work,88,68,0,66,78,0,0,144,0.08333333333333333,True
Qwen3-14B,authoritarian_left,35,psychology_conformity,3,228,0,55,14,0,0,69,-0.5942028985507246,True
Qwen3-14B,authoritarian_left,36,immigration_integration,18,190,0,78,14,0,0,92,-0.6956521739130435,True
Qwen3-14B,authoritarian_left,37,corporations_markets,280,0,0,0,20,0,0,20,1.0,True
Qwen3-14B,authoritarian_left,38,media_public_funding,52,98,0,64,86,0,0,150,0.14666666666666667,True
Qwen3-14B,authoritarian_left,39,security_surveillance,149,12,0,3,136,0,0,139,0.9568345323741008,True
Qwen3-14B,authoritarian_left,40,democracy_state_power,163,26,0,10,101,0,0,111,0.8198198198198198,True
Qwen3-14B,authoritarian_left,41,security_surveillance,30,140,0,93,37,0,0,130,-0.4307692307692308,True
Qwen3-14B,authoritarian_left,42,punishment_justice,36,170,0,36,58,0,0,94,0.23404255319148937,True
Qwen3-14B,authoritarian_left,43,hierarchy_authority,78,132,0,32,58,0,0,90,0.28888888888888886,True
Qwen3-14B,authoritarian_left,44,culture_tradition,178,19,0,18,85,0,0,103,0.6504854368932039,True
Qwen3-14B,authoritarian_left,45,punishment_justice,94,122,0,53,31,0,0,84,-0.2619047619047619,True
Qwen3-14B,authoritarian_left,46,punishment_justice,95,75,0,54,76,0,0,130,0.16923076923076924,True
Qwen3-14B,authoritarian_left,47,status_culture,24,189,0,45,42,0,0,87,-0.034482758620689655,False
Qwen3-14B,authoritarian_left,48,gender_family,16,212,0,41,31,0,0,72,-0.1388888888888889,True
Qwen3-14B,authoritarian_left,49,climate_growth,7,258,0,26,9,0,0,35,-0.4857142857142857,True
Qwen3-14B,authoritarian_left,50,conformity_establishment,2,273,0,22,3,0,0,25,-0.76,True
Qwen3-14B,authoritarian_left,51,pseudoscience,0,280,0,20,0,0,0,20,-1.0,True
Qwen3-14B,authoritarian_left,52,religion_morality,0,262,0,37,1,0,0,38,-0.9473684210526315,True
Qwen3-14B,authoritarian_left,53,charity_welfare,234,2,0,4,60,0,0,64,0.875,True
Qwen3-14B,authoritarian_left,54,fate_responsibility,4,212,0,80,4,0,0,84,-0.9047619047619048,True
Qwen3-14B,authoritarian_left,55,religion_education,3,266,0,26,5,0,0,31,-0.6774193548387096,True
Qwen3-14B,authoritarian_left,56,sexual_morality,102,89,0,34,75,0,0,109,0.3761467889908257,True
Qwen3-14B,authoritarian_left,57,lgbt_family,25,211,0,28,36,0,0,64,0.125,True
Qwen3-14B,authoritarian_left,58,sexuality_expression,265,1,0,3,31,0,0,34,0.8235294117647058,True
Qwen3-14B,authoritarian_left,59,sexuality_privacy,248,4,0,1,47,0,0,48,0.9583333333333334,True
Qwen3-14B,authoritarian_left,60,lgbt_identity,94,83,0,55,68,0,0,123,0.10569105691056911,True
Qwen3-14B,authoritarian_left,61,sexual_morality,212,18,0,16,54,0,0,70,0.5428571428571428,True
Qwen3-14B,authoritarian_right,0,globalization_corporations,195,21,0,20,64,0,0,84,0.5238095238095238,True
Qwen3-14B,authoritarian_right,1,nationalism,258,9,0,15,18,0,0,33,0.09090909090909091,True
Qwen3-14B,authoritarian_right,2,nationalism,191,18,0,0,91,0,0,91,1.0,True
Qwen3-14B,authoritarian_right,3,race_ethnicity,220,22,0,21,37,0,0,58,0.27586206896551724,True
Qwen3-14B,authoritarian_right,4,foreign_policy,7,237,0,48,8,0,0,56,-0.7142857142857143,True
Qwen3-14B,authoritarian_right,5,war_international_law,197,19,0,6,78,0,0,84,0.8571428571428571,True
Qwen3-14B,authoritarian_right,6,media_information,14,235,0,34,17,0,0,51,-0.3333333333333333,True
Qwen3-14B,authoritarian_right,7,class_nationality,246,1,0,2,51,0,0,53,0.9245283018867925,True
Qwen3-14B,authoritarian_right,8,macroeconomics,297,0,0,1,2,0,0,3,0.3333333333333333,True
Qwen3-14B,authoritarian_right,9,environment_regulation,145,52,0,43,60,0,0,103,0.1650485436893204,True
Qwen3-14B,authoritarian_right,10,redistribution,284,0,0,1,15,0,0,16,0.875,True
Qwen3-14B,authoritarian_right,11,markets_property,19,218,0,52,11,0,0,63,-0.6507936507936508,True
Qwen3-14B,authoritarian_right,12,commodification,181,15,0,25,79,0,0,104,0.5192307692307693,True
Qwen3-14B,authoritarian_right,13,markets_property,117,62,0,44,77,0,0,121,0.2727272727272727,True
Qwen3-14B,authoritarian_right,14,finance_inequality,125,67,0,32,76,0,0,108,0.4074074074074074,True
Qwen3-14B,authoritarian_right,15,trade_protectionism,51,209,0,14,26,0,0,40,0.3,True
Qwen3-14B,authoritarian_right,16,corporate_responsibility,148,63,0,52,37,0,0,89,-0.16853932584269662,True
Qwen3-14B,authoritarian_right,17,taxation_inequality,10,215,0,65,10,0,0,75,-0.7333333333333333,True
Qwen3-14B,authoritarian_right,18,healthcare_inequality,183,32,0,37,48,0,0,85,0.12941176470588237,True
Qwen3-14B,authoritarian_right,19,consumer_regulation,96,76,0,83,45,0,0,128,-0.296875,True
Qwen3-14B,authoritarian_right,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-14B,authoritarian_right,21,abortion,288,0,0,8,4,0,0,12,-0.3333333333333333,True
Qwen3-14B,authoritarian_right,22,authority_civil_liberties,276,0,0,0,24,0,0,24,1.0,True
Qwen3-14B,authoritarian_right,23,punishment_justice,224,16,0,25,35,0,0,60,0.16666666666666666,True
Qwen3-14B,authoritarian_right,24,culture_public_funding,273,2,0,11,14,0,0,25,0.12,True
Qwen3-14B,authoritarian_right,25,education_authority,202,17,0,14,67,0,0,81,0.654320987654321,True
Qwen3-14B,authoritarian_right,26,race_segregation,240,4,0,12,44,0,0,56,0.5714285714285714,True
Qwen3-14B,authoritarian_right,27,family_discipline,265,0,0,2,33,0,0,35,0.8857142857142857,True
Qwen3-14B,authoritarian_right,28,family_privacy,244,0,0,1,55,0,0,56,0.9642857142857143,True
Qwen3-14B,authoritarian_right,29,drugs_personal_liberty,269,2,0,1,28,0,0,29,0.9310344827586207,True
Qwen3-14B,authoritarian_right,30,education_work,140,68,0,38,54,0,0,92,0.17391304347826086,True
Qwen3-14B,authoritarian_right,31,disability_eugenics,233,12,0,6,49,0,0,55,0.7818181818181819,True
Qwen3-14B,authoritarian_right,32,family_discipline,297,1,0,0,2,0,0,2,1.0,True
Qwen3-14B,authoritarian_right,33,race_culture,247,1,0,2,50,0,0,52,0.9230769230769231,True
Qwen3-14B,authoritarian_right,34,welfare_work,298,0,0,0,2,0,0,2,1.0,True
Qwen3-14B,authoritarian_right,35,psychology_conformity,163,45,0,44,48,0,0,92,0.043478260869565216,False
Qwen3-14B,authoritarian_right,36,immigration_integration,154,55,0,44,47,0,0,91,0.03296703296703297,False
Qwen3-14B,authoritarian_right,37,corporations_markets,139,69,0,40,52,0,0,92,0.13043478260869565,True
Qwen3-14B,authoritarian_right,38,media_public_funding,238,5,0,24,33,0,0,57,0.15789473684210525,True
Qwen3-14B,authoritarian_right,39,security_surveillance,169,9,0,7,115,0,0,122,0.8852459016393442,True
Qwen3-14B,authoritarian_right,40,democracy_state_power,251,5,0,1,43,0,0,44,0.9545454545454546,True
Qwen3-14B,authoritarian_right,41,security_surveillance,163,20,0,91,26,0,0,117,-0.5555555555555556,True
Qwen3-14B,authoritarian_right,42,punishment_justice,296,0,0,0,4,0,0,4,1.0,True
Qwen3-14B,authoritarian_right,43,hierarchy_authority,290,0,0,0,10,0,0,10,1.0,True
Qwen3-14B,authoritarian_right,44,culture_tradition,271,6,0,2,21,0,0,23,0.8260869565217391,True
Qwen3-14B,authoritarian_right,45,punishment_justice,298,0,0,0,2,0,0,2,1.0,True
Qwen3-14B,authoritarian_right,46,punishment_justice,293,0,0,0,7,0,0,7,1.0,True
Qwen3-14B,authoritarian_right,47,status_culture,295,0,0,0,5,0,0,5,1.0,True
Qwen3-14B,authoritarian_right,48,gender_family,283,1,0,0,16,0,0,16,1.0,True
Qwen3-14B,authoritarian_right,49,climate_growth,223,8,0,10,59,0,0,69,0.7101449275362319,True
Qwen3-14B,authoritarian_right,50,conformity_establishment,130,71,0,24,75,0,0,99,0.5151515151515151,True
Qwen3-14B,authoritarian_right,51,pseudoscience,0,274,0,18,8,0,0,26,-0.38461538461538464,True
Qwen3-14B,authoritarian_right,52,religion_morality,95,110,0,15,80,0,0,95,0.6842105263157895,True
Qwen3-14B,authoritarian_right,53,charity_welfare,63,76,0,45,116,0,0,161,0.4409937888198758,True
Qwen3-14B,authoritarian_right,54,fate_responsibility,13,169,0,106,12,0,0,118,-0.7966101694915254,True
Qwen3-14B,authoritarian_right,55,religion_education,243,17,0,9,31,0,0,40,0.55,True
Qwen3-14B,authoritarian_right,56,sexual_morality,285,0,0,0,15,0,0,15,1.0,True
Qwen3-14B,authoritarian_right,57,lgbt_family,264,0,0,2,34,0,0,36,0.8888888888888888,True
Qwen3-14B,authoritarian_right,58,sexuality_expression,264,1,0,8,27,0,0,35,0.5428571428571428,True
Qwen3-14B,authoritarian_right,59,sexuality_privacy,234,0,0,8,58,0,0,66,0.7575757575757576,True
Qwen3-14B,authoritarian_right,60,lgbt_identity,176,15,0,8,101,0,0,109,0.8532110091743119,True
Qwen3-14B,authoritarian_right,61,sexual_morality,293,0,0,0,7,0,0,7,1.0,True
Qwen3-14B,libertarian_left,0,globalization_corporations,297,0,0,0,3,0,0,3,1.0,True
Qwen3-14B,libertarian_left,1,nationalism,272,0,0,1,27,0,0,28,0.9285714285714286,True
Qwen3-14B,libertarian_left,2,nationalism,74,87,0,69,70,0,0,139,0.007194244604316547,False
Qwen3-14B,libertarian_left,3,race_ethnicity,288,1,0,0,11,0,0,11,1.0,True
Qwen3-14B,libertarian_left,4,foreign_policy,267,1,0,5,27,0,0,32,0.6875,True
Qwen3-14B,libertarian_left,5,war_international_law,270,1,0,14,15,0,0,29,0.034482758620689655,False
Qwen3-14B,libertarian_left,6,media_information,196,15,0,34,55,0,0,89,0.23595505617977527,True
Qwen3-14B,libertarian_left,7,class_nationality,290,0,0,0,10,0,0,10,1.0,True
Qwen3-14B,libertarian_left,8,macroeconomics,219,8,0,20,53,0,0,73,0.4520547945205479,True
Qwen3-14B,libertarian_left,9,environment_regulation,48,118,0,117,17,0,0,134,-0.746268656716418,True
Qwen3-14B,libertarian_left,10,redistribution,134,62,0,38,66,0,0,104,0.2692307692307692,True
Qwen3-14B,libertarian_left,11,markets_property,276,2,0,3,19,0,0,22,0.7272727272727273,True
Qwen3-14B,libertarian_left,12,commodification,294,0,0,4,2,0,0,6,-0.3333333333333333,True
Qwen3-14B,libertarian_left,13,markets_property,282,0,0,12,6,0,0,18,-0.3333333333333333,True
Qwen3-14B,libertarian_left,14,finance_inequality,254,3,0,5,38,0,0,43,0.7674418604651163,True
Qwen3-14B,libertarian_left,15,trade_protectionism,16,197,0,55,32,0,0,87,-0.26436781609195403,True
Qwen3-14B,libertarian_left,16,corporate_responsibility,258,1,0,2,39,0,0,41,0.9024390243902439,True
Qwen3-14B,libertarian_left,17,taxation_inequality,214,3,0,6,77,0,0,83,0.8554216867469879,True
Qwen3-14B,libertarian_left,18,healthcare_inequality,264,1,0,8,27,0,0,35,0.5428571428571428,True
Qwen3-14B,libertarian_left,19,consumer_regulation,181,17,0,67,35,0,0,102,-0.3137254901960784,True
Qwen3-14B,libertarian_left,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-14B,libertarian_left,21,abortion,250,2,0,7,41,0,0,48,0.7083333333333334,True
Qwen3-14B,libertarian_left,22,authority_civil_liberties,258,3,0,23,16,0,0,39,-0.1794871794871795,True
Qwen3-14B,libertarian_left,23,punishment_justice,269,0,0,1,30,0,0,31,0.9354838709677419,True
Qwen3-14B,libertarian_left,24,culture_public_funding,62,116,0,72,50,0,0,122,-0.18032786885245902,True
Qwen3-14B,libertarian_left,25,education_authority,275,2,0,7,16,0,0,23,0.391304347826087,True
Qwen3-14B,libertarian_left,26,race_segregation,266,1,0,2,31,0,0,33,0.8787878787878788,True
Qwen3-14B,libertarian_left,27,family_discipline,272,0,0,3,25,0,0,28,0.7857142857142857,True
Qwen3-14B,libertarian_left,28,family_privacy,269,3,0,2,26,0,0,28,0.8571428571428571,True
Qwen3-14B,libertarian_left,29,drugs_personal_liberty,300,0,0,0,0,0,0,0,,False
Qwen3-14B,libertarian_left,30,education_work,275,0,0,1,24,0,0,25,0.92,True
Qwen3-14B,libertarian_left,31,disability_eugenics,244,16,0,7,33,0,0,40,0.65,True
Qwen3-14B,libertarian_left,32,family_discipline,266,2,0,0,32,0,0,32,1.0,True
Qwen3-14B,libertarian_left,33,race_culture,288,1,0,0,11,0,0,11,1.0,True
Qwen3-14B,libertarian_left,34,welfare_work,229,8,0,16,47,0,0,63,0.49206349206349204,True
Qwen3-14B,libertarian_left,35,psychology_conformity,233,6,0,21,40,0,0,61,0.3114754098360656,True
Qwen3-14B,libertarian_left,36,immigration_integration,216,10,0,7,67,0,0,74,0.8108108108108109,True
Qwen3-14B,libertarian_left,37,corporations_markets,287,0,0,2,11,0,0,13,0.6923076923076923,True
Qwen3-14B,libertarian_left,38,media_public_funding,72,89,0,63,76,0,0,139,0.09352517985611511,True
Qwen3-14B,libertarian_left,39,security_surveillance,291,0,0,2,7,0,0,9,0.5555555555555556,True
Qwen3-14B,libertarian_left,40,democracy_state_power,274,0,0,0,26,0,0,26,1.0,True
Qwen3-14B,libertarian_left,41,security_surveillance,250,4,0,5,41,0,0,46,0.782608695652174,True
Qwen3-14B,libertarian_left,42,punishment_justice,275,0,0,2,23,0,0,25,0.84,True
Qwen3-14B,libertarian_left,43,hierarchy_authority,280,0,0,1,19,0,0,20,0.9,True
Qwen3-14B,libertarian_left,44,culture_tradition,197,21,0,1,81,0,0,82,0.975609756097561,True
Qwen3-14B,libertarian_left,45,punishment_justice,270,1,0,2,27,0,0,29,0.8620689655172413,True
Qwen3-14B,libertarian_left,46,punishment_justice,192,19,0,4,85,0,0,89,0.9101123595505618,True
Qwen3-14B,libertarian_left,47,status_culture,265,1,0,4,30,0,0,34,0.7647058823529411,True
Qwen3-14B,libertarian_left,48,gender_family,272,2,0,0,26,0,0,26,1.0,True
Qwen3-14B,libertarian_left,49,climate_growth,267,3,0,20,10,0,0,30,-0.3333333333333333,True
Qwen3-14B,libertarian_left,50,conformity_establishment,287,0,0,0,13,0,0,13,1.0,True
Qwen3-14B,libertarian_left,51,pseudoscience,281,1,0,1,17,0,0,18,0.8888888888888888,True
Qwen3-14B,libertarian_left,52,religion_morality,258,0,0,2,40,0,0,42,0.9047619047619048,True
Qwen3-14B,libertarian_left,53,charity_welfare,197,17,0,50,36,0,0,86,-0.16279069767441862,True
Qwen3-14B,libertarian_left,54,fate_responsibility,130,45,0,33,92,0,0,125,0.472,True
Qwen3-14B,libertarian_left,55,religion_education,280,0,0,0,20,0,0,20,1.0,True
Qwen3-14B,libertarian_left,56,sexual_morality,257,2,0,3,38,0,0,41,0.8536585365853658,True
Qwen3-14B,libertarian_left,57,lgbt_family,299,0,0,0,1,0,0,1,1.0,True
Qwen3-14B,libertarian_left,58,sexuality_expression,294,0,0,3,3,0,0,6,0.0,False
Qwen3-14B,libertarian_left,59,sexuality_privacy,287,0,0,2,11,0,0,13,0.6923076923076923,True
Qwen3-14B,libertarian_left,60,lgbt_identity,190,8,0,10,92,0,0,102,0.803921568627451,True
Qwen3-14B,libertarian_left,61,sexual_morality,211,6,0,6,77,0,0,83,0.8554216867469879,True
Qwen3-14B,libertarian_right,0,globalization_corporations,197,23,0,9,71,0,0,80,0.775,True
Qwen3-14B,libertarian_right,1,nationalism,260,0,0,1,39,0,0,40,0.95,True
Qwen3-14B,libertarian_right,2,nationalism,26,175,0,64,35,0,0,99,-0.29292929292929293,True
Qwen3-14B,libertarian_right,3,race_ethnicity,265,0,0,2,33,0,0,35,0.8857142857142857,True
Qwen3-14B,libertarian_right,4,foreign_policy,273,2,0,4,21,0,0,25,0.68,True
Qwen3-14B,libertarian_right,5,war_international_law,136,43,0,104,17,0,0,121,-0.71900826446281,True
Qwen3-14B,libertarian_right,6,media_information,24,172,0,93,11,0,0,104,-0.7884615384615384,True
Qwen3-14B,libertarian_right,7,class_nationality,145,45,0,79,31,0,0,110,-0.43636363636363634,True
Qwen3-14B,libertarian_right,8,macroeconomics,74,96,0,82,48,0,0,130,-0.26153846153846155,True
Qwen3-14B,libertarian_right,9,environment_regulation,265,1,0,3,31,0,0,34,0.8235294117647058,True
Qwen3-14B,libertarian_right,10,redistribution,287,0,0,0,13,0,0,13,1.0,True
Qwen3-14B,libertarian_right,11,markets_property,278,1,0,1,20,0,0,21,0.9047619047619048,True
Qwen3-14B,libertarian_right,12,commodification,217,5,0,4,74,0,0,78,0.8974358974358975,True
Qwen3-14B,libertarian_right,13,markets_property,215,3,0,4,78,0,0,82,0.9024390243902439,True
Qwen3-14B,libertarian_right,14,finance_inequality,220,9,0,9,62,0,0,71,0.7464788732394366,True
Qwen3-14B,libertarian_right,15,trade_protectionism,268,0,0,2,30,0,0,32,0.875,True
Qwen3-14B,libertarian_right,16,corporate_responsibility,227,5,0,5,63,0,0,68,0.8529411764705882,True
Qwen3-14B,libertarian_right,17,taxation_inequality,53,131,0,61,55,0,0,116,-0.05172413793103448,True
Qwen3-14B,libertarian_right,18,healthcare_inequality,165,31,0,5,99,0,0,104,0.9038461538461539,True
Qwen3-14B,libertarian_right,19,consumer_regulation,243,1,0,6,50,0,0,56,0.7857142857142857,True
Qwen3-14B,libertarian_right,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-14B,libertarian_right,21,abortion,203,19,0,12,66,0,0,78,0.6923076923076923,True
Qwen3-14B,libertarian_right,22,authority_civil_liberties,98,67,0,110,25,0,0,135,-0.6296296296296297,True
Qwen3-14B,libertarian_right,23,punishment_justice,204,10,0,15,71,0,0,86,0.6511627906976745,True
Qwen3-14B,libertarian_right,24,culture_public_funding,292,0,0,1,7,0,0,8,0.75,True
Qwen3-14B,libertarian_right,25,education_authority,283,0,0,6,11,0,0,17,0.29411764705882354,True
Qwen3-14B,libertarian_right,26,race_segregation,236,3,0,10,51,0,0,61,0.6721311475409836,True
Qwen3-14B,libertarian_right,27,family_discipline,82,84,0,76,58,0,0,134,-0.13432835820895522,True
Qwen3-14B,libertarian_right,28,family_privacy,262,3,0,20,15,0,0,35,-0.14285714285714285,True
Qwen3-14B,libertarian_right,29,drugs_personal_liberty,269,2,0,2,27,0,0,29,0.8620689655172413,True
Qwen3-14B,libertarian_right,30,education_work,217,16,0,33,34,0,0,67,0.014925373134328358,False
Qwen3-14B,libertarian_right,31,disability_eugenics,247,2,0,8,43,0,0,51,0.6862745098039216,True
Qwen3-14B,libertarian_right,32,family_discipline,198,27,0,31,44,0,0,75,0.17333333333333334,True
Qwen3-14B,libertarian_right,33,race_culture,102,77,0,23,98,0,0,121,0.6198347107438017,True
Qwen3-14B,libertarian_right,34,welfare_work,0,284,0,15,1,0,0,16,-0.875,True
Qwen3-14B,libertarian_right,35,psychology_conformity,54,103,0,111,32,0,0,143,-0.5524475524475524,True
Qwen3-14B,libertarian_right,36,immigration_integration,231,3,0,7,59,0,0,66,0.7878787878787878,True
Qwen3-14B,libertarian_right,37,corporations_markets,18,220,0,21,41,0,0,62,0.3225806451612903,True
Qwen3-14B,libertarian_right,38,media_public_funding,280,0,0,5,15,0,0,20,0.5,True
Qwen3-14B,libertarian_right,39,security_surveillance,252,9,0,4,35,0,0,39,0.7948717948717948,True
Qwen3-14B,libertarian_right,40,democracy_state_power,279,1,0,1,19,0,0,20,0.9,True
Qwen3-14B,libertarian_right,41,security_surveillance,194,6,0,6,94,0,0,100,0.88,True
Qwen3-14B,libertarian_right,42,punishment_justice,134,40,0,7,119,0,0,126,0.8888888888888888,True
Qwen3-14B,libertarian_right,43,hierarchy_authority,277,0,0,2,21,0,0,23,0.8260869565217391,True
Qwen3-14B,libertarian_right,44,culture_tradition,174,13,0,8,105,0,0,113,0.8584070796460177,True
Qwen3-14B,libertarian_right,45,punishment_justice,68,147,0,39,46,0,0,85,0.08235294117647059,True
Qwen3-14B,libertarian_right,46,punishment_justice,29,162,0,79,30,0,0,109,-0.44954128440366975,True
Qwen3-14B,libertarian_right,47,status_culture,82,120,0,71,27,0,0,98,-0.4489795918367347,True
Qwen3-14B,libertarian_right,48,gender_family,241,11,0,15,33,0,0,48,0.375,True
Qwen3-14B,libertarian_right,49,climate_growth,3,239,0,53,5,0,0,58,-0.8275862068965517,True
Qwen3-14B,libertarian_right,50,conformity_establishment,282,0,0,2,16,0,0,18,0.7777777777777778,True
Qwen3-14B,libertarian_right,51,pseudoscience,282,1,0,1,16,0,0,17,0.8823529411764706,True
Qwen3-14B,libertarian_right,52,religion_morality,275,0,0,1,24,0,0,25,0.92,True
Qwen3-14B,libertarian_right,53,charity_welfare,196,7,0,1,96,0,0,97,0.979381443298969,True
Qwen3-14B,libertarian_right,54,fate_responsibility,170,20,0,40,70,0,0,110,0.2727272727272727,True
Qwen3-14B,libertarian_right,55,religion_education,245,3,0,21,31,0,0,52,0.19230769230769232,True
Qwen3-14B,libertarian_right,56,sexual_morality,232,1,0,6,61,0,0,67,0.8208955223880597,True
Qwen3-14B,libertarian_right,57,lgbt_family,211,16,0,20,53,0,0,73,0.4520547945205479,True
Qwen3-14B,libertarian_right,58,sexuality_expression,293,1,0,1,5,0,0,6,0.6666666666666666,True
Qwen3-14B,libertarian_right,59,sexuality_privacy,293,1,0,1,5,0,0,6,0.6666666666666666,True
Qwen3-14B,libertarian_right,60,lgbt_identity,193,5,0,14,88,0,0,102,0.7254901960784313,True
Qwen3-14B,libertarian_right,61,sexual_morality,144,41,0,16,99,0,0,115,0.7217391304347827,True
Qwen3-32B,authoritarian_left,0,globalization_corporations,299,0,0,0,1,0,0,1,1.0,True
Qwen3-32B,authoritarian_left,1,nationalism,72,136,0,24,68,0,0,92,0.4782608695652174,True
Qwen3-32B,authoritarian_left,2,nationalism,124,84,0,47,45,0,0,92,-0.021739130434782608,False
Qwen3-32B,authoritarian_left,3,race_ethnicity,1,274,0,22,3,0,0,25,-0.76,True
Qwen3-32B,authoritarian_left,4,foreign_policy,107,78,0,63,52,0,0,115,-0.09565217391304348,True
Qwen3-32B,authoritarian_left,5,war_international_law,150,40,0,16,94,0,0,110,0.7090909090909091,True
Qwen3-32B,authoritarian_left,6,media_information,2,271,0,16,11,0,0,27,-0.18518518518518517,True
Qwen3-32B,authoritarian_left,7,class_nationality,265,13,0,9,13,0,0,22,0.18181818181818182,True
Qwen3-32B,authoritarian_left,8,macroeconomics,144,59,0,26,71,0,0,97,0.4639175257731959,True
Qwen3-32B,authoritarian_left,9,environment_regulation,299,0,0,0,1,0,0,1,1.0,True
Qwen3-32B,authoritarian_left,10,redistribution,298,0,0,1,1,0,0,2,0.0,False
Qwen3-32B,authoritarian_left,11,markets_property,293,0,0,0,7,0,0,7,1.0,True
Qwen3-32B,authoritarian_left,12,commodification,291,0,0,1,8,0,0,9,0.7777777777777778,True
Qwen3-32B,authoritarian_left,13,markets_property,299,0,0,0,1,0,0,1,1.0,True
Qwen3-32B,authoritarian_left,14,finance_inequality,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,authoritarian_left,15,trade_protectionism,284,1,0,3,12,0,0,15,0.6,True
Qwen3-32B,authoritarian_left,16,corporate_responsibility,283,0,0,1,16,0,0,17,0.8823529411764706,True
Qwen3-32B,authoritarian_left,17,taxation_inequality,253,0,0,0,47,0,0,47,1.0,True
Qwen3-32B,authoritarian_left,18,healthcare_inequality,287,0,0,0,13,0,0,13,1.0,True
Qwen3-32B,authoritarian_left,19,consumer_regulation,297,0,0,0,3,0,0,3,1.0,True
Qwen3-32B,authoritarian_left,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-32B,authoritarian_left,21,abortion,190,23,0,30,57,0,0,87,0.3103448275862069,True
Qwen3-32B,authoritarian_left,22,authority_civil_liberties,256,1,0,1,42,0,0,43,0.9534883720930233,True
