scope,split,ideology,n
model::Qwen3-32B_no_think,confirmation,authoritarian_right,5250
model::Qwen3-32B_no_think,discovery,authoritarian_right,4050
model::Qwen3-4B_think,confirmation,libertarian_left,5250
family::Qwen3::think,confirmation,libertarian_left,21000
model::Qwen3-4B_think,discovery,libertarian_left,4050
family::Qwen3::think,discovery,libertarian_left,16200
model::Qwen3-4B_think,confirmation,libertarian_right,5250
family::Qwen3::think,confirmation,libertarian_right,21000
model::Qwen3-4B_think,discovery,libertarian_right,4050
family::Qwen3::think,discovery,libertarian_right,16200
model::Qwen3-4B_think,confirmation,authoritarian_left,5250
family::Qwen3::think,confirmation,authoritarian_left,21000
model::Qwen3-4B_think,discovery,authoritarian_left,4050
family::Qwen3::think,discovery,authoritarian_left,16200
model::Qwen3-4B_think,confirmation,authoritarian_right,5250
family::Qwen3::think,confirmation,authoritarian_right,21000
model::Qwen3-4B_think,discovery,authoritarian_right,4050
family::Qwen3::think,discovery,authoritarian_right,16200
model::Qwen3-8B_think,confirmation,libertarian_left,5250
model::Qwen3-8B_think,discovery,libertarian_left,4050
model::Qwen3-8B_think,confirmation,libertarian_right,5250
model::Qwen3-8B_think,discovery,libertarian_right,4050
model::Qwen3-8B_think,confirmation,authoritarian_left,5250
model::Qwen3-8B_think,discovery,authoritarian_left,4050
model::Qwen3-8B_think,confirmation,authoritarian_right,5250
model::Qwen3-8B_think,discovery,authoritarian_right,4050
model::Qwen3-14B_think,confirmation,libertarian_left,5250
model::Qwen3-14B_think,discovery,libertarian_left,4050
model::Qwen3-14B_think,confirmation,libertarian_right,5250
model::Qwen3-14B_think,discovery,libertarian_right,4050
model::Qwen3-14B_think,confirmation,authoritarian_left,5250
model::Qwen3-14B_think,discovery,authoritarian_left,4050
model::Qwen3-14B_think,confirmation,authoritarian_right,5250
model::Qwen3-14B_think,discovery,authoritarian_right,4050
model::Qwen3-32B_think,confirmation,libertarian_left,5250
model::Qwen3-32B_think,discovery,libertarian_left,4050
model::Qwen3-32B_think,confirmation,libertarian_right,5250
model::Qwen3-32B_think,discovery,libertarian_right,4050
model::Qwen3-32B_think,confirmation,authoritarian_left,5250
model::Qwen3-32B_think,discovery,authoritarian_left,4050
model::Qwen3-32B_think,confirmation,authoritarian_right,5250
model::Qwen3-32B_think,discovery,authoritarian_right,4050
