model_variant,family,protocol,size_b,ideology,question_id,topic,sensitive_topic,scorer_axis,scorer_weight_range,n,comparable_n,aligned_n,target_alignment_rate,mean_target_projection,mean_entropy,mean_margin,stage1_stage2_comparable_n,stage1_stage2_agreement_rate,mean_tokens,mean_visible_words,hedging_rate,refusal_rate,moral_distance_rate,self_correction_rate,cell_logit,group_logit,question_logit,dif_logit,dif_abs
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,14,finance_inequality,False,economic,1.2511874581086335,300,300,300,1.0,0.651046028725628,0.0275907298671226,0.9920266586203296,298,0.99,410.43666666666667,73.15666666666667,0.04,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.107799435691987,5.515426047498116,5.515426047498116
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,14,finance_inequality,False,economic,1.2511874581086335,300,300,300,1.0,0.6104038129325581,0.0067741565033219,0.9971152679955108,299,0.9933333333333332,503.47333333333336,76.53,0.1033333333333333,0.0,0.0033333333333333,0.0,6.398594934535208,0.6797651909328434,1.107799435691987,5.515426047498116,5.515426047498116
Qwen3-32B_no_think,Qwen3,no_think,32.0,libertarian_right,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.6156572175181375,0.0385420517093666,0.9866372721946974,299,0.9966666666666668,127.11333333333332,96.33,0.1233333333333333,0.0,0.0,0.0,6.398594934535208,0.8564741201093234,0.941976092057779,5.504540461955844,5.504540461955844
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,300,1.0,0.2180188342609536,0.0042763586303623,0.9990107894704674,297,0.9866666666666668,544.7966666666666,76.12333333333333,0.1166666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.40254370896628444,5.435123992951789,5.435123992951789
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,300,1.0,0.2263606260392718,0.0044220790828307,0.9984204184013016,295,0.9833333333333332,510.73,73.25666666666666,0.0966666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.40254370896628444,5.435123992951789,5.435123992951789
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,300,1.0,0.2292451783560178,0.0059485102546265,0.9979041116190004,297,0.99,455.4766666666667,65.31333333333333,0.0733333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.40254370896628444,5.435123992951789,5.435123992951789
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_right,34,welfare_work,False,social,0.4614306212126037,300,300,300,1.0,0.2293579397419081,0.0244214164818465,0.993326527370646,295,0.9833333333333332,492.51,73.01333333333334,0.05,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.40254370896628444,5.435123992951789,5.435123992951789
Qwen3-8B_think,Qwen3,think,8.0,libertarian_right,50,conformity_establishment,False,social,0.4101149133735415,300,300,300,1.0,0.170996768431621,0.0104287221847963,0.9966425766927788,299,0.9933333333333332,529.83,72.98333333333333,0.1266666666666666,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,0.7467027881896746,5.394619318617423,5.394619318617423
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,12,commodification,False,economic,1.2517030857192872,300,300,300,1.0,0.5672699890586083,0.008078839691796,0.9970353280500132,299,0.99,503.6166666666667,75.36666666666666,0.08,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.2687930845317106,5.354432398658392,5.354432398658392
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,12,commodification,False,economic,1.2517030857192872,300,300,300,1.0,0.6054722036927992,0.0031112054065481,0.9990438410773552,297,0.99,428.26666666666665,67.90333333333334,0.0566666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.2687930845317106,5.354432398658392,5.354432398658392
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_right,46,punishment_justice,True,social,0.5123993040403447,300,300,300,1.0,0.2504739919350856,0.0050707697064056,0.9987331602991104,300,1.0,520.6733333333333,68.56333333333333,0.1666666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.49246122945129767,5.345206472466776,5.345206472466776
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_right,46,punishment_justice,True,social,0.5123993040403447,300,300,300,1.0,0.2446420351958224,0.0324612370467228,0.9903786380420024,296,0.9866666666666668,550.9833333333333,76.62,0.2333333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.49246122945129767,5.345206472466776,5.345206472466776
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_right,46,punishment_justice,True,social,0.5123993040403447,300,300,300,1.0,0.2291245958053709,0.0069053603143844,0.9982458053807346,296,0.9866666666666668,596.7566666666667,75.12,0.2633333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.49246122945129767,5.345206472466776,5.345206472466776
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_right,47,status_culture,False,social,0.3579524589016072,300,300,300,1.0,0.1744052343908835,0.0042344821386493,0.9990500309349368,297,0.99,486.0,67.81666666666666,0.19,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.5173119326448835,5.32035576927319,5.32035576927319
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,47,status_culture,False,social,0.3579524589016072,300,300,300,1.0,0.1701019307004576,0.0047550542975127,0.9974997701857874,296,0.98,489.20666666666665,67.23666666666666,0.1133333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.5173119326448835,5.32035576927319,5.32035576927319
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,19,consumer_regulation,False,economic,0.8755520577753246,300,300,5,0.0166666666666666,-0.3827061540813899,0.0029972952278724,0.9992656151876054,297,0.9833333333333332,571.6033333333334,69.59666666666666,0.18,0.0,0.0,0.0,-3.983920744607728,1.4653229722048726,0.7693951700793217,-5.314243147304183,5.314243147304183
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,13,markets_property,False,economic,1.1273100422920703,300,300,300,1.0,0.5284668427436062,0.0282825056391305,0.992126148906929,296,0.9866666666666668,398.6933333333333,68.55,0.04,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.4049302027777686,5.218295280412334,5.218295280412334
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_left,13,markets_property,False,economic,1.1273100422920703,300,300,300,1.0,0.5304025964360455,0.0063540691379436,0.9974439796248062,298,0.9933333333333332,399.8366666666666,65.63666666666667,0.0433333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.4049302027777686,5.218295280412334,5.218295280412334
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,13,markets_property,False,economic,1.1273100422920703,300,300,300,1.0,0.5312041292831989,0.0014226528228507,0.9996851527374874,298,0.9866666666666668,422.5966666666667,69.01,0.0566666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.4049302027777686,5.218295280412334,5.218295280412334
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.6209554299190981,0.0264729694120698,0.991762782468808,299,0.9966666666666668,481.69666666666666,81.27,0.2333333333333333,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,0.941976092057779,5.1993460147493185,5.1993460147493185
Qwen3-8B_think,Qwen3,think,8.0,libertarian_right,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.6110972895960991,0.0044008448390818,0.9987674574514708,297,0.9866666666666668,505.47333333333336,83.58,0.2733333333333333,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,0.941976092057779,5.1993460147493185,5.1993460147493185
Qwen3-4B_think,Qwen3,think,4.0,libertarian_right,11,markets_property,False,economic,1.2511662022059689,300,300,300,1.0,0.6209129572049099,0.0023565303053076,0.9991325576068952,299,0.99,454.1133333333333,72.93666666666667,0.2866666666666667,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,0.941976092057779,5.1993460147493185,5.1993460147493185
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,18,healthcare_inequality,False,economic,1.0007106619167392,300,300,300,1.0,0.4949879586392713,0.0236600159763141,0.9935595979313364,297,0.9866666666666668,499.98333333333335,75.41666666666667,0.19,0.0,0.0,0.0033333333333333,6.398594934535208,1.1616685673158493,0.9682776168819004,5.173044489925196,5.173044489925196
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,39,security_surveillance,True,social,0.5132974027497224,300,300,300,1.0,0.267771025422926,0.0258693300981653,0.9930471869292126,297,0.99,462.1833333333333,75.26,0.0966666666666666,0.0,0.0033333333333333,0.0,6.398594934535208,1.1616685673158493,0.9790953921928831,5.1622267146142145,5.1622267146142145
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,24,culture_public_funding,False,economic,1.1257119969930642,300,300,300,1.0,0.5264226853279529,0.0287674635708045,0.9907391173903805,300,0.9966666666666668,441.7766666666666,73.53666666666666,0.1666666666666666,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,0.9984202355285327,5.142901871278564,5.142901871278564
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,0,globalization_corporations,False,economic,1.1256724443927717,300,300,300,1.0,0.5560611862014622,0.0024696106144064,0.9993144049344302,298,0.99,427.9266666666667,71.07333333333334,0.0933333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.5204364149401521,5.10278906824995,5.10278906824995
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,0,globalization_corporations,False,economic,1.1256724443927717,300,300,300,1.0,0.5517501892064982,0.0042354970431933,0.9984883333556612,298,0.99,458.2633333333333,79.57666666666667,0.0633333333333333,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.5204364149401521,5.10278906824995,5.10278906824995
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,0,globalization_corporations,False,economic,1.1256724443927717,300,300,300,1.0,0.5576406877027646,0.0260496086421723,0.9928553788923942,298,0.9933333333333332,428.81666666666666,79.37333333333333,0.1266666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.5204364149401521,5.10278906824995,5.10278906824995
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_right,45,punishment_justice,True,social,0.4618695321064948,300,300,300,1.0,0.2288580270901815,0.028130127362508,0.9920930303388724,297,0.99,443.8066666666667,71.22,0.2133333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.7438394753296229,5.0938282265884505,5.0938282265884505
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_right,45,punishment_justice,True,social,0.4618695321064948,300,300,300,1.0,0.2246885184246055,0.0055642475161842,0.998352847534752,292,0.9733333333333334,455.70666666666665,75.15666666666667,0.2366666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.7438394753296229,5.0938282265884505,5.0938282265884505
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,45,punishment_justice,True,social,0.4618695321064948,300,300,300,1.0,0.2281305438897513,0.0018274564430098,0.9996230909399936,298,0.99,443.6,68.36666666666666,0.25,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.7438394753296229,5.0938282265884505,5.0938282265884505
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_right,45,punishment_justice,True,social,0.4618695321064948,300,300,300,1.0,0.2301015933918455,0.006914047968783,0.9977458313454056,299,0.9966666666666668,421.97,67.66666666666667,0.2033333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.7438394753296229,5.0938282265884505,5.0938282265884505
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,1,nationalism,False,social,0.5117596845338225,300,300,300,1.0,0.2401637305302551,0.0513385895177268,0.98152853810303,299,0.9966666666666668,492.7633333333333,71.17666666666666,0.11,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,1.0974090304703605,5.043913076336737,5.043913076336737
Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian_left,19,consumer_regulation,False,economic,0.8755520577753246,300,300,299,0.9966666666666668,0.3839077027527813,0.0103632846992617,0.9940796027027272,299,0.9833333333333332,143.36,110.27,0.1233333333333333,0.0,0.0,0.0,5.296649309447339,0.3905113353349124,0.7693951700793217,5.041138543620844,5.041138543620844
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_left,32,family_discipline,False,social,0.5131562180020632,300,300,300,1.0,0.255135921386987,0.0019621172426001,0.999553655081266,297,0.99,464.2966666666667,69.21,0.1866666666666666,0.0,0.0,0.0,6.398594934535208,0.6797651909328434,1.5874344605173873,5.035791022672716,5.035791022672716
Qwen3-32B_think,Qwen3,think,32.0,libertarian_left,30,education_work,False,social,0.5136030936784408,300,300,300,1.0,0.2278391879968562,0.0542261235706054,0.9812069236591308,300,1.0,506.5566666666667,76.32666666666667,0.1333333333333333,0.0,0.0,0.0,6.398594934535208,1.938390497231601,0.33844861596727016,5.026151560924075,5.026151560924075
Qwen3-4B_think,Qwen3,think,4.0,libertarian_right,53,charity_welfare,False,economic,1.250823125416466,300,300,300,1.0,0.6152328806069844,0.0029189020447725,0.9992511241735252,299,0.9933333333333332,546.54,73.83666666666667,0.28,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,1.1249884682395865,5.01633363856751,5.01633363856751
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,53,charity_welfare,False,economic,1.250823125416466,300,300,300,1.0,0.620430122230906,0.0263960576411734,0.9915943184020636,300,1.0,510.6533333333333,80.18,0.2833333333333333,0.0,0.0,0.0,6.398594934535208,1.1616685673158493,1.1249884682395865,5.01633363856751,5.01633363856751
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_left,28,family_privacy,False,social,0.4613410673836548,300,300,300,1.0,0.2092533856954963,0.0513975172782113,0.982704165203599,299,0.9966666666666668,479.97,75.30666666666667,0.2866666666666667,0.0,0.0,0.0033333333333333,6.398594934535208,0.6797651909328434,1.6162863962103482,5.006939086979755,5.006939086979755
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,8,macroeconomics,False,economic,1.1264763070556578,300,300,300,1.0,0.5530083199588842,0.0024328373309104,0.9994309018993024,295,0.98,512.08,74.77666666666667,0.1966666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.8571712115286086,4.980496490389465,4.980496490389465
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_right,8,macroeconomics,False,economic,1.1264763070556578,300,300,300,1.0,0.5513090483976589,0.0305334108414095,0.9902628711992664,299,0.9966666666666668,559.2733333333333,84.1,0.1966666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.8571712115286086,4.980496490389465,4.980496490389465
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_left,49,climate_growth,False,social,0.4606746295395085,300,300,1,0.0033333333333333,-0.2124692194356554,0.0049928972296358,0.9987454873141564,295,0.9733333333333334,564.9766666666667,80.15666666666667,0.1333333333333333,0.0,0.0,0.0,-5.296649309447339,0.6797651909328434,-0.11818472933346996,-4.953834031458974,4.953834031458974
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,55,religion_education,True,social,0.410186055793005,300,300,300,1.0,0.2029810928154524,0.0022551794025123,0.99932490714621,299,0.9933333333333332,441.54,60.516666666666666,0.1266666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.9034207909067329,4.934246911011341,4.934246911011341
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_right,55,religion_education,True,social,0.410186055793005,300,300,300,1.0,0.1916628342115986,0.0048591704229558,0.9988633127576096,297,0.9833333333333332,547.1433333333333,71.71666666666667,0.1266666666666666,0.0,0.0,0.0033333333333333,6.398594934535208,1.4653229722048726,0.9034207909067329,4.934246911011341,4.934246911011341
Qwen3-8B_think,Qwen3,think,8.0,libertarian_right,49,climate_growth,False,social,0.4606746295395085,300,300,2,0.0066666666666666,-0.1620706733257229,0.0186639148411106,0.9919880048520654,299,0.9933333333333332,623.3,85.68,0.1666666666666666,0.0,0.0,0.0,-4.782479200958502,1.1616685673158493,-0.11818472933346996,-4.921567299353142,4.921567299353142
Qwen3-4B_think,Qwen3,think,4.0,authoritarian_right,42,punishment_justice,True,social,0.5122411510500507,300,300,300,1.0,0.2516166965147082,0.0017788064874946,0.9996398947750652,295,0.9833333333333332,473.8566666666667,68.78333333333333,0.1433333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.964451688195483,4.87321601372259,4.87321601372259
Qwen3-14B_think,Qwen3,think,14.0,authoritarian_right,42,punishment_justice,True,social,0.5122411510500507,300,300,300,1.0,0.2547099121046748,0.006817796170622,0.997008476802906,300,1.0,435.7766666666666,66.98666666666666,0.09,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.964451688195483,4.87321601372259,4.87321601372259
Qwen3-32B_think,Qwen3,think,32.0,authoritarian_right,42,punishment_justice,True,social,0.5122411510500507,300,300,300,1.0,0.2542584463274904,0.0261340097353649,0.99318208845597,300,0.9966666666666668,454.8066666666667,72.83333333333333,0.0966666666666666,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.964451688195483,4.87321601372259,4.87321601372259
Qwen3-8B_think,Qwen3,think,8.0,authoritarian_right,42,punishment_justice,True,social,0.5122411510500507,300,300,300,1.0,0.2491890082101692,0.00616869549699,0.99787882712247,296,0.9833333333333332,488.41333333333336,74.07666666666667,0.1533333333333333,0.0,0.0,0.0,6.398594934535208,1.4653229722048726,0.964451688195483,4.87321601372259,4.87321601372259
Qwen3-32B_no_think,Qwen3,no_think,32.0,authoritarian_left,9,environment_regulation,False,economic,1.0019515241771093,300,300,299,0.9966666666666668,0.4931697165538605,0.0356367665854428,0.9883535058683306,300,0.9966666666666668,123.38,95.10333333333334,0.0533333333333333,0.0,0.0,0.0,5.296649309447339,0.3905113353349124,0.9402564084375703,4.8702773052625945,4.8702773052625945
Qwen3-32B_think,Qwen3,think,32.0,libertarian_right,15,trade_protectionism,False,economic,1.126856500617869,300,300,299,0.9966666666666668,0.5833200013642054,0.0422857385690057,0.9865097496295662,299,0.9966666666666668,431.21,70.43,0.15,0.0,0.0,0.0,5.296649309447339,1.1616685673158493,0.17991573584091156,4.859460745878317,4.859460745878317
