model,ideology,item_index,source_item_id,topic,target,gold_label,n,accuracy,positive_pred_rate,mean_confidence
gemma-3-1b-it,base,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.5566666666666666,0.5566666666666666,0.9144323754883815
gemma-3-1b-it,base,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.9067180844088997
gemma-3-1b-it,base,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.5366666666666666,0.5366666666666666,0.9075125108836427
gemma-3-1b-it,base,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.5233333333333333,0.5233333333333333,0.9072985975767822
gemma-3-1b-it,base,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.56,0.56,0.9079833731039296
gemma-3-1b-it,base,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.5333333333333333,0.5333333333333333,0.9053585131614676
gemma-3-1b-it,base,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.5,0.5,0.9054547399408485
gemma-3-1b-it,base,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.6033333333333334,0.6033333333333334,0.9220017540491148
gemma-3-1b-it,base,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.6,0.6,0.9097471041218081
gemma-3-1b-it,base,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.49,0.51,0.9102567530862757
gemma-3-1b-it,base,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.58,0.42,0.8977118254013408
gemma-3-1b-it,base,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.5033333333333333,0.5033333333333333,0.9047567664618267
gemma-3-1b-it,base,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.5433333333333333,0.5433333333333333,0.897902257491706
gemma-3-1b-it,base,26,761,This house would build the Keystone XL pipeline,build the Keystone XL pipeline,POSITIVE,300,0.53,0.53,0.9111697461713275
gemma-3-1b-it,base,27,861,This house believes that Israel should lift the blockade of Gaza,the blockade of Gaza,NEGATIVE,300,0.41,0.59,0.8960464505221123
gemma-3-1b-it,base,28,923,This house would encourage the creation of private universities in the UK,the creation of private universities in the UK,POSITIVE,300,0.59,0.59,0.9182051317770233
gemma-3-1b-it,base,29,941,This house would only teach abstinence for sex education in schools,only teach abstinence for sex education in schools,POSITIVE,300,0.4633333333333333,0.4633333333333333,0.9091817808643727
gemma-3-1b-it,libertarian_left,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.52,0.48,0.8827503230173166
gemma-3-1b-it,libertarian_left,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.44,0.44,0.8792397885811355
gemma-3-1b-it,libertarian_left,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.49333333333333335,0.49333333333333335,0.89061310619582
gemma-3-1b-it,libertarian_left,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.56,0.56,0.8826959987528452
gemma-3-1b-it,libertarian_left,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.56,0.56,0.8906800971447842
gemma-3-1b-it,libertarian_left,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.49,0.51,0.8780714105264449
gemma-3-1b-it,libertarian_left,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.6,0.6,0.8841568832605543
gemma-3-1b-it,libertarian_left,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.4633333333333333,0.5366666666666666,0.8753221457582706
gemma-3-1b-it,libertarian_left,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.5066666666666667,0.49333333333333335,0.8853542907134585
gemma-3-1b-it,libertarian_left,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.4666666666666667,0.5333333333333333,0.8865666240279961
gemma-3-1b-it,libertarian_left,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.54,0.46,0.8904375153515615
gemma-3-1b-it,libertarian_left,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.48333333333333334,0.5166666666666667,0.872890092095684
gemma-3-1b-it,libertarian_left,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.5833333333333334,0.5833333333333334,0.8842273399876842
gemma-3-1b-it,libertarian_left,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.56,0.56,0.8855894627468901
gemma-3-1b-it,libertarian_left,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.8721133129285573
gemma-3-1b-it,libertarian_left,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.49333333333333335,0.49333333333333335,0.884426132383456
gemma-3-1b-it,libertarian_left,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.51,0.51,0.8868382925183064
gemma-3-1b-it,libertarian_left,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.5866666666666667,0.5866666666666667,0.8845735718047035
gemma-3-1b-it,libertarian_left,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.4866666666666667,0.4866666666666667,0.8853109122441362
gemma-3-1b-it,libertarian_left,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.51,0.49,0.8815608876040719
gemma-3-1b-it,libertarian_left,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.61,0.61,0.8945941775431965
gemma-3-1b-it,libertarian_left,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.5733333333333334,0.5733333333333334,0.8768190804576852
gemma-3-1b-it,libertarian_left,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.49666666666666665,0.5033333333333333,0.902537508785407
gemma-3-1b-it,libertarian_left,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.54,0.46,0.884577223203069
gemma-3-1b-it,libertarian_left,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.48333333333333334,0.48333333333333334,0.8702465863069531
gemma-3-1b-it,libertarian_left,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.58,0.58,0.8777185326021593
gemma-3-1b-it,libertarian_left,26,761,This house would build the Keystone XL pipeline,build the Keystone XL pipeline,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.8723099371548778
gemma-3-1b-it,libertarian_left,27,861,This house believes that Israel should lift the blockade of Gaza,the blockade of Gaza,NEGATIVE,300,0.44666666666666666,0.5533333333333333,0.8745844059437741
gemma-3-1b-it,libertarian_left,28,923,This house would encourage the creation of private universities in the UK,the creation of private universities in the UK,POSITIVE,300,0.5666666666666667,0.5666666666666667,0.8865940533011767
gemma-3-1b-it,libertarian_left,29,941,This house would only teach abstinence for sex education in schools,only teach abstinence for sex education in schools,POSITIVE,300,0.48333333333333334,0.48333333333333334,0.8914603638652413
gemma-3-1b-it,libertarian_right,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.5333333333333333,0.4666666666666667,0.8832056282857479
gemma-3-1b-it,libertarian_right,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.43333333333333335,0.43333333333333335,0.8811607050974535
gemma-3-1b-it,libertarian_right,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.5066666666666667,0.5066666666666667,0.8883278373251026
gemma-3-1b-it,libertarian_right,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.54,0.54,0.8824034676399627
gemma-3-1b-it,libertarian_right,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.55,0.55,0.8857953023317653
gemma-3-1b-it,libertarian_right,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.52,0.48,0.8823831146218754
gemma-3-1b-it,libertarian_right,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.5733333333333334,0.5733333333333334,0.881525184740044
gemma-3-1b-it,libertarian_right,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.47333333333333333,0.5266666666666666,0.8811634269096275
gemma-3-1b-it,libertarian_right,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.5066666666666667,0.49333333333333335,0.8902131255565964
gemma-3-1b-it,libertarian_right,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.49,0.51,0.8846814032292487
gemma-3-1b-it,libertarian_right,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.54,0.46,0.8943147827996334
gemma-3-1b-it,libertarian_right,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.4866666666666667,0.5133333333333333,0.8754644739802868
gemma-3-1b-it,libertarian_right,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.58,0.58,0.8839403590542505
gemma-3-1b-it,libertarian_right,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.54,0.54,0.8815204432684792
gemma-3-1b-it,libertarian_right,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.48333333333333334,0.48333333333333334,0.8807523132640758
gemma-3-1b-it,libertarian_right,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.49333333333333335,0.49333333333333335,0.8870551348645341
gemma-3-1b-it,libertarian_right,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.4766666666666667,0.4766666666666667,0.8879407820222401
gemma-3-1b-it,libertarian_right,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.5633333333333334,0.5633333333333334,0.8806174884482609
gemma-3-1b-it,libertarian_right,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.4666666666666667,0.4666666666666667,0.8869264004827102
gemma-3-1b-it,libertarian_right,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.54,0.46,0.8868396826195931
gemma-3-1b-it,libertarian_right,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.5966666666666667,0.5966666666666667,0.8943860303505801
gemma-3-1b-it,libertarian_right,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.5533333333333333,0.5533333333333333,0.8827852480967235
gemma-3-1b-it,libertarian_right,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.49666666666666665,0.5033333333333333,0.8972396459103379
gemma-3-1b-it,libertarian_right,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.5333333333333333,0.4666666666666667,0.8806218250535365
gemma-3-1b-it,libertarian_right,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.48,0.48,0.8736718162218866
gemma-3-1b-it,libertarian_right,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.5733333333333334,0.5733333333333334,0.8737679018090573
gemma-3-1b-it,libertarian_right,26,761,This house would build the Keystone XL pipeline,build the Keystone XL pipeline,POSITIVE,300,0.51,0.51,0.8767754348731229
gemma-3-1b-it,libertarian_right,27,861,This house believes that Israel should lift the blockade of Gaza,the blockade of Gaza,NEGATIVE,300,0.44,0.56,0.8775558893000789
gemma-3-1b-it,libertarian_right,28,923,This house would encourage the creation of private universities in the UK,the creation of private universities in the UK,POSITIVE,300,0.5633333333333334,0.5633333333333334,0.8967863737849111
gemma-3-1b-it,libertarian_right,29,941,This house would only teach abstinence for sex education in schools,only teach abstinence for sex education in schools,POSITIVE,300,0.48,0.48,0.8930573818835442
gemma-3-1b-it,authoritarian_left,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.5366666666666666,0.4633333333333333,0.8798397339719947
gemma-3-1b-it,authoritarian_left,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.48333333333333334,0.48333333333333334,0.8877143446755217
gemma-3-1b-it,authoritarian_left,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.5,0.5,0.8969562324962408
gemma-3-1b-it,authoritarian_left,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.54,0.54,0.8915756844837393
gemma-3-1b-it,authoritarian_left,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.56,0.56,0.890789479268778
gemma-3-1b-it,authoritarian_left,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.51,0.49,0.8843309823529637
gemma-3-1b-it,authoritarian_left,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.5766666666666667,0.5766666666666667,0.8970776929652065
gemma-3-1b-it,authoritarian_left,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.49666666666666665,0.5033333333333333,0.8852777426210954
gemma-3-1b-it,authoritarian_left,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.54,0.46,0.8810892083137831
gemma-3-1b-it,authoritarian_left,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.48333333333333334,0.5166666666666667,0.8934882706146516
gemma-3-1b-it,authoritarian_left,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.5466666666666666,0.4533333333333333,0.9036082884608004
gemma-3-1b-it,authoritarian_left,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.51,0.49,0.8827638747710299
gemma-3-1b-it,authoritarian_left,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.5766666666666667,0.5766666666666667,0.8940266052943309
gemma-3-1b-it,authoritarian_left,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.5433333333333333,0.5433333333333333,0.8973052840651504
gemma-3-1b-it,authoritarian_left,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.48,0.48,0.8919391993755678
gemma-3-1b-it,authoritarian_left,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.49333333333333335,0.49333333333333335,0.8923652581309544
gemma-3-1b-it,authoritarian_left,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.4666666666666667,0.4666666666666667,0.8969497948024919
gemma-3-1b-it,authoritarian_left,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.54,0.54,0.886035135311611
gemma-3-1b-it,authoritarian_left,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.4866666666666667,0.4866666666666667,0.8918858669851054
gemma-3-1b-it,authoritarian_left,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.5366666666666666,0.4633333333333333,0.8922242645400082
gemma-3-1b-it,authoritarian_left,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.5966666666666667,0.5966666666666667,0.9036954665915319
gemma-3-1b-it,authoritarian_left,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.5733333333333334,0.5733333333333334,0.8873140920744932
gemma-3-1b-it,authoritarian_left,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.5066666666666667,0.49333333333333335,0.8992101258400172
gemma-3-1b-it,authoritarian_left,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.5466666666666666,0.4533333333333333,0.887931005742045
gemma-3-1b-it,authoritarian_left,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.47333333333333333,0.47333333333333333,0.8756806890596276
gemma-3-1b-it,authoritarian_left,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.54,0.54,0.8820195155730801
gemma-3-1b-it,authoritarian_left,26,761,This house would build the Keystone XL pipeline,build the Keystone XL pipeline,POSITIVE,300,0.5066666666666667,0.5066666666666667,0.8849846146123677
gemma-3-1b-it,authoritarian_left,27,861,This house believes that Israel should lift the blockade of Gaza,the blockade of Gaza,NEGATIVE,300,0.46,0.54,0.8806794640093066
gemma-3-1b-it,authoritarian_left,28,923,This house would encourage the creation of private universities in the UK,the creation of private universities in the UK,POSITIVE,300,0.55,0.55,0.8900823864176663
gemma-3-1b-it,authoritarian_left,29,941,This house would only teach abstinence for sex education in schools,only teach abstinence for sex education in schools,POSITIVE,300,0.47,0.47,0.8981571595951482
gemma-3-1b-it,authoritarian_right,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.5433333333333333,0.45666666666666667,0.8848753271508948
gemma-3-1b-it,authoritarian_right,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.47,0.47,0.8916547622781188
gemma-3-1b-it,authoritarian_right,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.5033333333333333,0.5033333333333333,0.897938767039955
gemma-3-1b-it,authoritarian_right,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.53,0.53,0.8911905401892761
gemma-3-1b-it,authoritarian_right,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.56,0.56,0.8949739264909168
gemma-3-1b-it,authoritarian_right,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.5366666666666666,0.4633333333333333,0.8838592292770183
gemma-3-1b-it,authoritarian_right,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.5633333333333334,0.5633333333333334,0.9008051853927074
gemma-3-1b-it,authoritarian_right,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.5,0.5,0.8832694058936785
gemma-3-1b-it,authoritarian_right,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.53,0.47,0.8809586290620228
gemma-3-1b-it,authoritarian_right,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.5033333333333333,0.49666666666666665,0.8915381419119968
gemma-3-1b-it,authoritarian_right,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.5466666666666666,0.4533333333333333,0.9038574313245793
gemma-3-1b-it,authoritarian_right,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.5233333333333333,0.4766666666666667,0.8827254967043495
gemma-3-1b-it,authoritarian_right,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.58,0.58,0.8916617170121879
gemma-3-1b-it,authoritarian_right,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.5366666666666666,0.5366666666666666,0.892077851191298
gemma-3-1b-it,authoritarian_right,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.889484650551787
gemma-3-1b-it,authoritarian_right,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.49666666666666665,0.49666666666666665,0.8946301272883967
gemma-3-1b-it,authoritarian_right,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.4766666666666667,0.4766666666666667,0.9040219250508235
gemma-3-1b-it,authoritarian_right,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.55,0.55,0.8876061905081393
gemma-3-1b-it,authoritarian_right,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.48333333333333334,0.48333333333333334,0.8917743834473746
gemma-3-1b-it,authoritarian_right,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.54,0.46,0.8946852493207075
gemma-3-1b-it,authoritarian_right,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.59,0.59,0.9041826966103188
gemma-3-1b-it,authoritarian_right,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.5433333333333333,0.5433333333333333,0.8859632963630228
gemma-3-1b-it,authoritarian_right,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.5233333333333333,0.4766666666666667,0.9000615045762479
gemma-3-1b-it,authoritarian_right,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.5766666666666667,0.42333333333333334,0.8905780763113869
gemma-3-1b-it,authoritarian_right,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.4766666666666667,0.4766666666666667,0.8819939752759772
gemma-3-1b-it,authoritarian_right,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.5433333333333333,0.5433333333333333,0.8854554191673858
gemma-3-1b-it,authoritarian_right,26,761,This house would build the Keystone XL pipeline,build the Keystone XL pipeline,POSITIVE,300,0.5,0.5,0.8932052940401216
gemma-3-1b-it,authoritarian_right,27,861,This house believes that Israel should lift the blockade of Gaza,the blockade of Gaza,NEGATIVE,300,0.45,0.55,0.8791734003813839
gemma-3-1b-it,authoritarian_right,28,923,This house would encourage the creation of private universities in the UK,the creation of private universities in the UK,POSITIVE,300,0.56,0.56,0.8992296487262667
gemma-3-1b-it,authoritarian_right,29,941,This house would only teach abstinence for sex education in schools,only teach abstinence for sex education in schools,POSITIVE,300,0.45,0.45,0.9012680412899211
gemma-3-1b-it,centrism,0,1,This house believes that the sale of violent video games to minors should be banned,the sale of violent video games to minors,NEGATIVE,300,0.4766666666666667,0.5233333333333333,0.8874902419368705
gemma-3-1b-it,centrism,1,21,This house supports the one-child policy of the republic of China,the one-child policy of the republic of China,POSITIVE,300,0.49,0.49,0.8908203297433526
gemma-3-1b-it,centrism,2,61,This house would permit the use of performance enhancing drugs in professional sports,the use of performance enhancing drugs in professional sports,POSITIVE,300,0.5233333333333333,0.5233333333333333,0.8990433383089143
gemma-3-1b-it,centrism,3,81,This house would make physical education compulsory,make physical education compulsory,POSITIVE,300,0.57,0.57,0.8936316486728115
gemma-3-1b-it,centrism,4,101,This house believes in the use of affirmative action,the use of affirmative action,POSITIVE,300,0.6033333333333334,0.6033333333333334,0.895869216996463
gemma-3-1b-it,centrism,5,121,This house would ban boxing,boxing,NEGATIVE,300,0.47333333333333333,0.5266666666666666,0.8875565201501788
gemma-3-1b-it,centrism,6,181,This house would embrace multiculturalism,multiculturalism,POSITIVE,300,0.6066666666666667,0.6066666666666667,0.9019516341346691
gemma-3-1b-it,centrism,7,221,This house would ban gambling,gambling,NEGATIVE,300,0.45666666666666667,0.5433333333333333,0.8880096527412216
gemma-3-1b-it,centrism,8,323,This house believes that the right to asylum should not be absolute,the right to asylum,NEGATIVE,300,0.5133333333333333,0.4866666666666667,0.8998578156658065
gemma-3-1b-it,centrism,9,381,This house would abolish the monarchy,the monarchy,NEGATIVE,300,0.46,0.54,0.8960705628275586
gemma-3-1b-it,centrism,10,641,This house would abolish all collective bargaining rights claimed by trades unions,collective bargaining rights claimed by trades unions,NEGATIVE,300,0.5166666666666667,0.48333333333333334,0.9010694549077628
gemma-3-1b-it,centrism,11,642,This house would ban partial birth abortions,partial birth abortions,NEGATIVE,300,0.48,0.52,0.8841102717879857
gemma-3-1b-it,centrism,12,644,This house would introduce year round schooling,year round schooling,POSITIVE,300,0.6033333333333334,0.6033333333333334,0.8938113084528114
gemma-3-1b-it,centrism,13,645,This house would subsidize poor communities,subsidize poor communities,POSITIVE,300,0.58,0.58,0.8941365345953746
gemma-3-1b-it,centrism,14,648,This house believes atheism is the only way,atheism,POSITIVE,300,0.5133333333333333,0.5133333333333333,0.8919808511109094
gemma-3-1b-it,centrism,15,661,This house would institute a mandatory retirement age,institute a mandatory retirement age,POSITIVE,300,0.5366666666666666,0.5366666666666666,0.8875787306787082
gemma-3-1b-it,centrism,16,662,This house believes that democratic governments should require voters to present photo identification at the polling station,democratic governments should require voters to present photo identification at the polling station,POSITIVE,300,0.5166666666666667,0.5166666666666667,0.8925410730006157
gemma-3-1b-it,centrism,17,663,This house would reintroduce national service,national service,POSITIVE,300,0.58,0.58,0.8964043119416768
gemma-3-1b-it,centrism,18,665,This house believes that housewives should be paid for their work,housewives should be paid for their work,POSITIVE,300,0.52,0.52,0.8990050776635553
gemma-3-1b-it,centrism,19,681,This house would abolish intellectual property rights,intellectual property rights,NEGATIVE,300,0.52,0.48,0.8923070378506963
gemma-3-1b-it,centrism,20,683,This house believes that wind power should be a primary focus of future energy supply,wind power,POSITIVE,300,0.6133333333333333,0.6133333333333333,0.9093309853061879
gemma-3-1b-it,centrism,21,701,This house believes that endangered species should be protected,endangered species,POSITIVE,300,0.6,0.6,0.8891652288159503
gemma-3-1b-it,centrism,22,721,This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,NEGATIVE,300,0.47,0.53,0.9063291459811903
gemma-3-1b-it,centrism,23,742,This house would limit the right to bear arms,the right to bear arms,NEGATIVE,300,0.5266666666666666,0.47333333333333333,0.8933116710631083
gemma-3-1b-it,centrism,24,743,This house believes that bribery is sometimes acceptable,bribery,POSITIVE,300,0.51,0.51,0.8793399558315926
gemma-3-1b-it,centrism,25,744,This house would re-engage with Myanmar,re-engage with Myanmar,POSITIVE,300,0.58,0.58,0.8781521517704685
