model,ideology,target,context_combo,instr_combo,persona_combo,mean_p_hate,mean_item_dispersion
Qwen/Qwen3-14B,base,white people,absent,0,absent,0.37728075669692446,0.09975903857178273
Qwen/Qwen3-14B,base,white people,Ctx_1,7,absent,0.2840800565910769,0.06942531496697452
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,latinx people,absent,4,absent,0.4202417445791376,0.10042215067803857
Qwen/Qwen3-14B,base,white people,absent,1,absent,0.29378098402698116,0.05734950342231751
Qwen/Qwen3-14B,base,christians,Ctx_1,7,absent,0.19891347950911736,0.04876370992846624
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_4,3,absent,0.5060284388315929,0.08696845701989434
Qwen/Qwen3-14B,base,christians,absent,4,absent,0.27378046428700825,0.07492082448753754
Qwen/Qwen3-14B,base,lgbtq+ people,absent,5,absent,0.5337700097410528,0.09097954518459704
Qwen/Qwen3-14B,base,asian people,Ctx_2,9,absent,0.26549913051787083,0.05783980800512409
Qwen/Qwen3-14B,base,black people,absent,1,absent,0.3132591906532243,0.06385615130679213
Qwen/Qwen3-14B,base,white people,absent,5,absent,0.393278940572395,0.0948365613371366
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,8,absent,0.5188576237217442,0.1011880739103925
Qwen/Qwen3-14B,base,black people,Ctx_2,6,absent,0.43858373518641647,0.08228851791937819
Qwen/Qwen3-14B,base,latinx people,Ctx_0,2,absent,0.5283872708007022,0.07060564165952583
Qwen/Qwen3-14B,base,latinx people,Ctx_4,9,absent,0.39397801830245927,0.09836335202724061
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,1,absent,0.5223070374122253,0.0806289161998375
Qwen/Qwen3-14B,base,men,Ctx_4,2,absent,0.48201928840385183,0.06286995509422239
Qwen/Qwen3-14B,base,muslims,absent,2,absent,0.42298239093643053,0.08253407926645759
Qwen/Qwen3-14B,base,women,Ctx_3,2,absent,0.47967463127664617,0.061231910664514264
Qwen/Qwen3-14B,base,latinx people,absent,3,absent,0.3212546477088699,0.06339282636182501
Qwen/Qwen3-14B,base,asian people,absent,3,absent,0.26160896209267165,0.057965558460417496
Qwen/Qwen3-14B,base,black people,absent,6,absent,0.4803618977444845,0.10239266856501303
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_0,8,absent,0.46885569389159976,0.10169048195613155
Qwen/Qwen3-14B,base,asian people,absent,3,absent,0.26160896209267165,0.057965558460417496
Qwen/Qwen3-14B,base,latinx people,Ctx_3,0,absent,0.45451681651510634,0.08520940130819506
Qwen/Qwen3-14B,base,women,absent,3,absent,0.27878415904514064,0.055797334974613394
Qwen/Qwen3-14B,base,asian people,Ctx_1,3,absent,0.2901477040023775,0.0643273536803617
Qwen/Qwen3-14B,base,latinx people,absent,3,absent,0.3212546477088699,0.06339282636182501
Qwen/Qwen3-14B,base,white people,absent,7,absent,0.3875334597117192,0.08944135541286233
Qwen/Qwen3-14B,base,women,Ctx_0,7,absent,0.271891638233855,0.06383034455374216
Qwen/Qwen3-14B,base,men,absent,6,absent,0.4158490888617776,0.07879799771548213
Qwen/Qwen3-14B,base,lgbtq+ people,absent,4,absent,0.5430801000681009,0.1079314667242083
Qwen/Qwen3-14B,base,women,Ctx_0,4,absent,0.31844318642451597,0.07510435675077805
Qwen/Qwen3-14B,base,muslims,absent,1,absent,0.22646024324245997,0.053751744738312617
Qwen/Qwen3-14B,base,jews,absent,0,absent,0.4079059058794746,0.10675409946668317
Qwen/Qwen3-14B,base,women,Ctx_3,7,absent,0.31048651361787644,0.07212157482699715
Qwen/Qwen3-14B,base,men,absent,9,absent,0.2842532055167196,0.058640883534834896
Qwen/Qwen3-14B,base,latinx people,Ctx_3,1,absent,0.45605851260122954,0.07598158549271544
Qwen/Qwen3-14B,base,asian people,Ctx_3,2,absent,0.48590405956581906,0.061439417461015
Qwen/Qwen3-14B,base,women,absent,0,absent,0.3886430583469145,0.09124609093867263
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,black people,Ctx_1,2,absent,0.5078479391676528,0.08493184594644422
Qwen/Qwen3-14B,base,asian people,absent,0,absent,0.3814146759452762,0.09385428839302495
Qwen/Qwen3-14B,base,men,Ctx_1,9,absent,0.2764710412548111,0.06365472795235792
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_2,1,absent,0.4075344638065533,0.06474098651751845
Qwen/Qwen3-14B,base,muslims,absent,0,absent,0.33325641224155195,0.09944237621304436
Qwen/Qwen3-14B,base,muslims,Ctx_1,5,absent,0.2521702444052195,0.08245510828910681
Qwen/Qwen3-14B,base,black people,absent,7,absent,0.4462231229599174,0.10083833763541189
Qwen/Qwen3-14B,base,christians,Ctx_0,7,absent,0.19759347063822072,0.052158013601073826
Qwen/Qwen3-14B,base,muslims,Ctx_1,1,absent,0.2361561928962444,0.06491871506510521
Qwen/Qwen3-14B,base,women,absent,6,absent,0.4201531205941607,0.08720089028856574
Qwen/Qwen3-14B,base,christians,absent,1,absent,0.22599123078244585,0.04387053357715444
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_2,5,absent,0.43791398388129454,0.07840686773988464
Qwen/Qwen3-14B,base,christians,absent,3,absent,0.20210857588697123,0.04881153226400837
Qwen/Qwen3-14B,base,muslims,Ctx_2,6,absent,0.277446000962644,0.06875932760949725
Qwen/Qwen3-14B,base,jews,absent,3,absent,0.26980431010952227,0.06638543889320886
Qwen/Qwen3-14B,base,latinx people,absent,2,absent,0.5185845664313605,0.06722432783694833
Qwen/Qwen3-14B,base,women,Ctx_3,0,absent,0.38707230725624897,0.08300546742040106
Qwen/Qwen3-14B,base,men,Ctx_4,8,absent,0.36753945146595035,0.08280251363859649
Qwen/Qwen3-14B,base,christians,absent,3,absent,0.20210857588697123,0.04881153226400837
Qwen/Qwen3-14B,base,muslims,absent,5,absent,0.353895053088486,0.09636426659540517
Qwen/Qwen3-14B,base,christians,absent,4,absent,0.27378046428700825,0.07492082448753754
Qwen/Qwen3-14B,base,lgbtq+ people,absent,9,absent,0.3888264400017512,0.07317497801383006
Qwen/Qwen3-14B,base,jews,absent,6,absent,0.4243551558694682,0.09686280607274332
Qwen/Qwen3-14B,base,white people,absent,8,absent,0.3740822289799069,0.08258210743387889
Qwen/Qwen3-14B,base,white people,Ctx_2,7,absent,0.2890453351376293,0.05891138698284743
Qwen/Qwen3-14B,base,jews,absent,4,absent,0.40700875956553956,0.11050070974468547
Qwen/Qwen3-14B,base,muslims,Ctx_4,4,absent,0.44700280261469316,0.09679978690846691
Qwen/Qwen3-14B,base,jews,absent,5,absent,0.4335348513033297,0.1000205095905162
Qwen/Qwen3-14B,base,jews,Ctx_1,0,absent,0.32274582812020014,0.07659802384979118
Qwen/Qwen3-14B,base,black people,absent,3,absent,0.28005402360682013,0.07097859010144321
Qwen/Qwen3-14B,base,men,Ctx_3,0,absent,0.3831483656624416,0.07395454981681669
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,asian people,absent,9,absent,0.28301244083926214,0.06219076171643801
Qwen/Qwen3-14B,base,muslims,Ctx_0,8,absent,0.316730388247215,0.0943888413249478
Qwen/Qwen3-14B,base,jews,absent,9,absent,0.2804987315010201,0.06731736386131301
Qwen/Qwen3-14B,base,latinx people,Ctx_0,6,absent,0.48124322438383244,0.08755764476412015
Qwen/Qwen3-14B,base,black people,absent,6,absent,0.4803618977444845,0.10239266856501303
Qwen/Qwen3-14B,base,black people,absent,3,absent,0.28005402360682013,0.07097859010144321
Qwen/Qwen3-14B,base,women,Ctx_3,0,absent,0.38707230725624897,0.08300546742040106
Qwen/Qwen3-14B,base,white people,Ctx_3,2,absent,0.4923799954377137,0.07305183699274173
Qwen/Qwen3-14B,base,men,absent,6,absent,0.4158490888617776,0.07879799771548213
Qwen/Qwen3-14B,base,men,Ctx_4,9,absent,0.32601470757533124,0.0858502667746511
Qwen/Qwen3-14B,base,men,absent,4,absent,0.38804101286170717,0.08548094831907693
Qwen/Qwen3-14B,base,asian people,absent,9,absent,0.28301244083926214,0.06219076171643801
Qwen/Qwen3-14B,base,white people,Ctx_1,8,absent,0.2849471051324237,0.07328915787532689
Qwen/Qwen3-14B,base,black people,Ctx_2,3,absent,0.37090416377908114,0.07800660468616348
Qwen/Qwen3-14B,base,white people,absent,1,absent,0.29378098402698116,0.05734950342231751
Qwen/Qwen3-14B,base,muslims,absent,9,absent,0.20889332906731792,0.059477453546981564
Qwen/Qwen3-14B,base,christians,Ctx_0,1,absent,0.2412405708418773,0.05479008431498971
Qwen/Qwen3-14B,base,black people,Ctx_4,8,absent,0.4506148601079488,0.11350785795996603
Qwen/Qwen3-14B,base,white people,absent,1,absent,0.29378098402698116,0.05734950342231751
Qwen/Qwen3-14B,base,asian people,Ctx_4,4,absent,0.474219594989811,0.08352238209330574
Qwen/Qwen3-14B,base,muslims,Ctx_3,3,absent,0.26465452867406264,0.0768539218829017
Qwen/Qwen3-14B,base,jews,absent,7,absent,0.41200192026547844,0.09315530878149578
Qwen/Qwen3-14B,base,latinx people,Ctx_0,3,absent,0.33639681169220637,0.06796785578922353
Qwen/Qwen3-14B,base,asian people,absent,7,absent,0.3858872387368042,0.08254656697504088
Qwen/Qwen3-14B,base,jews,Ctx_2,9,absent,0.2757885436395983,0.06610031164096819
Qwen/Qwen3-14B,base,asian people,absent,2,absent,0.4722776329732156,0.07315127521924832
Qwen/Qwen3-14B,base,jews,absent,0,absent,0.4079059058794746,0.10675409946668317
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,2,absent,0.6474946796357095,0.06084851766174159
Qwen/Qwen3-14B,base,women,absent,8,absent,0.35857093441593757,0.07929955369256059
Qwen/Qwen3-14B,base,latinx people,absent,4,absent,0.4202417445791376,0.10042215067803857
Qwen/Qwen3-14B,base,asian people,absent,9,absent,0.28301244083926214,0.06219076171643801
Qwen/Qwen3-14B,base,black people,Ctx_0,7,absent,0.37809078348381026,0.09494331118829091
Qwen/Qwen3-14B,base,latinx people,absent,2,absent,0.5185845664313605,0.06722432783694833
Qwen/Qwen3-14B,base,jews,Ctx_3,9,absent,0.3541038809595881,0.09143090649321366
Qwen/Qwen3-14B,base,women,absent,4,absent,0.3858446072529744,0.09608304256923114
Qwen/Qwen3-14B,base,men,Ctx_0,6,absent,0.426091932319664,0.07959207040050552
Qwen/Qwen3-14B,base,muslims,absent,8,absent,0.32026428919475713,0.0824537929427959
Qwen/Qwen3-14B,base,white people,absent,9,absent,0.28112363776152915,0.06524517278832895
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_2,5,absent,0.43791398388129454,0.07840686773988464
Qwen/Qwen3-14B,base,asian people,absent,7,absent,0.3858872387368042,0.08254656697504088
Qwen/Qwen3-14B,base,muslims,Ctx_1,8,absent,0.2458353100327758,0.0730790205160505
Qwen/Qwen3-14B,base,muslims,Ctx_4,6,absent,0.3787452927580825,0.09500049770752446
Qwen/Qwen3-14B,base,men,Ctx_1,7,absent,0.27863645070307963,0.06058273765205805
Qwen/Qwen3-14B,base,women,absent,2,absent,0.49200557319967597,0.0713066323985102
Qwen/Qwen3-14B,base,black people,Ctx_4,3,absent,0.4775245128809153,0.10200425689662283
Qwen/Qwen3-14B,base,men,Ctx_4,9,absent,0.32601470757533124,0.0858502667746511
Qwen/Qwen3-14B,base,men,Ctx_3,7,absent,0.3164801762492449,0.06935160434830971
Qwen/Qwen3-14B,base,latinx people,Ctx_4,6,absent,0.49702196436243373,0.07985903767215294
Qwen/Qwen3-14B,base,muslims,Ctx_4,9,absent,0.2781440320315662,0.0996877666897288
Qwen/Qwen3-14B,base,latinx people,absent,6,absent,0.45764703676104546,0.08364713619641234
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,8,absent,0.5188576237217442,0.1011880739103925
Qwen/Qwen3-14B,base,latinx people,absent,5,absent,0.44232422010497646,0.08902457261069396
Qwen/Qwen3-14B,base,asian people,absent,2,absent,0.4722776329732156,0.07315127521924832
Qwen/Qwen3-14B,base,women,Ctx_4,5,absent,0.2927388625817972,0.0822643978724307
Qwen/Qwen3-14B,base,men,absent,6,absent,0.4158490888617776,0.07879799771548213
Qwen/Qwen3-14B,base,men,Ctx_3,7,absent,0.3164801762492449,0.06935160434830971
Qwen/Qwen3-14B,base,black people,absent,5,absent,0.4681483764458705,0.10620866519647668
Qwen/Qwen3-14B,base,latinx people,absent,3,absent,0.3212546477088699,0.06339282636182501
Qwen/Qwen3-14B,base,black people,Ctx_2,8,absent,0.4468729159495494,0.08603562336293982
Qwen/Qwen3-14B,base,jews,Ctx_2,9,absent,0.2757885436395983,0.06610031164096819
Qwen/Qwen3-14B,base,asian people,Ctx_0,2,absent,0.4810340106934756,0.07413840823745141
Qwen/Qwen3-14B,base,white people,absent,4,absent,0.3770270512268708,0.10323786769156833
Qwen/Qwen3-14B,base,latinx people,Ctx_3,8,absent,0.4325752955478233,0.09493888096259308
Qwen/Qwen3-14B,base,white people,absent,3,absent,0.26139659342823085,0.06382574448284759
Qwen/Qwen3-14B,base,black people,absent,8,absent,0.445492886566185,0.09191068907430616
Qwen/Qwen3-14B,base,women,absent,1,absent,0.2919677511058949,0.04758335045586118
Qwen/Qwen3-14B,base,white people,Ctx_1,4,absent,0.2906483135244868,0.07943762640333761
Qwen/Qwen3-14B,base,christians,Ctx_0,6,absent,0.302566851357798,0.07275555389295041
Qwen/Qwen3-14B,base,muslims,absent,6,absent,0.34712698966175226,0.09376647805708882
Qwen/Qwen3-14B,base,asian people,Ctx_3,7,absent,0.3302801557041861,0.07998366622904372
Qwen/Qwen3-14B,base,black people,absent,0,absent,0.445012551617694,0.11111208996417146
Qwen/Qwen3-14B,base,white people,absent,0,absent,0.37728075669692446,0.09975903857178273
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_1,1,absent,0.38735990615578386,0.06495542194680175
Qwen/Qwen3-14B,base,black people,Ctx_4,5,absent,0.4076923046026144,0.11618861096974871
Qwen/Qwen3-14B,base,christians,Ctx_4,1,absent,0.27555233947149627,0.06269186180779301
Qwen/Qwen3-14B,base,christians,absent,3,absent,0.20210857588697123,0.04881153226400837
Qwen/Qwen3-14B,base,muslims,Ctx_0,6,absent,0.37682105815625405,0.09724853166000197
Qwen/Qwen3-14B,base,muslims,absent,3,absent,0.2026853054851383,0.06019243987105827
Qwen/Qwen3-14B,base,asian people,absent,6,absent,0.4105466001809717,0.08519164385883861
Qwen/Qwen3-14B,base,christians,absent,4,absent,0.27378046428700825,0.07492082448753754
Qwen/Qwen3-14B,base,christians,Ctx_1,6,absent,0.2083590001136333,0.04937823774429641
Qwen/Qwen3-14B,base,asian people,Ctx_0,0,absent,0.34568352046403084,0.08271835835405035
Qwen/Qwen3-14B,base,men,absent,7,absent,0.37946851312129704,0.07313653366901543
Qwen/Qwen3-14B,base,jews,Ctx_3,3,absent,0.3421930538730936,0.08112574833620942
Qwen/Qwen3-14B,base,asian people,absent,2,absent,0.4722776329732156,0.07315127521924832
Qwen/Qwen3-14B,base,latinx people,Ctx_2,0,absent,0.4039805170383539,0.0632325981415842
Qwen/Qwen3-14B,base,jews,absent,9,absent,0.2804987315010201,0.06731736386131301
Qwen/Qwen3-14B,base,christians,Ctx_0,6,absent,0.302566851357798,0.07275555389295041
Qwen/Qwen3-14B,base,women,absent,2,absent,0.49200557319967597,0.0713066323985102
Qwen/Qwen3-14B,base,jews,absent,2,absent,0.4960922783201521,0.08071242216688791
Qwen/Qwen3-14B,base,lgbtq+ people,absent,7,absent,0.5284490711517162,0.0825801979320445
Qwen/Qwen3-14B,base,lgbtq+ people,absent,0,absent,0.5049441892642517,0.09943674384181346
Qwen/Qwen3-14B,base,women,Ctx_3,5,absent,0.33077689607043165,0.08423015166285626
Qwen/Qwen3-14B,base,women,Ctx_4,1,absent,0.3323486706874034,0.07531890738234161
Qwen/Qwen3-14B,base,white people,Ctx_2,9,absent,0.26206383690819723,0.05973436773979351
Qwen/Qwen3-14B,base,muslims,Ctx_1,2,absent,0.3649717643633261,0.08038975338245319
Qwen/Qwen3-14B,base,lgbtq+ people,absent,5,absent,0.5337700097410528,0.09097954518459704
Qwen/Qwen3-14B,base,asian people,absent,0,absent,0.3814146759452762,0.09385428839302495
Qwen/Qwen3-14B,base,jews,absent,3,absent,0.26980431010952227,0.06638543889320886
Qwen/Qwen3-14B,base,jews,Ctx_3,8,absent,0.41832219131358034,0.10325576047415441
Qwen/Qwen3-14B,base,men,absent,4,absent,0.38804101286170717,0.08548094831907693
Qwen/Qwen3-14B,base,muslims,Ctx_0,8,absent,0.316730388247215,0.0943888413249478
Qwen/Qwen3-14B,base,jews,Ctx_2,2,absent,0.4600662601602686,0.057965955981026704
Qwen/Qwen3-14B,base,muslims,Ctx_2,5,absent,0.24785545656272956,0.07024316796968212
Qwen/Qwen3-14B,base,jews,Ctx_3,9,absent,0.3541038809595881,0.09143090649321366
Qwen/Qwen3-14B,base,women,Ctx_1,2,absent,0.3871908339115234,0.06375887911328308
Qwen/Qwen3-14B,base,latinx people,absent,0,absent,0.431322665051655,0.09436117506238934
Qwen/Qwen3-14B,base,latinx people,absent,9,absent,0.3394933136406581,0.06577430839923887
Qwen/Qwen3-14B,base,asian people,Ctx_0,0,absent,0.34568352046403084,0.08271835835405035
Qwen/Qwen3-14B,base,men,Ctx_0,1,absent,0.33312815391981565,0.06510186553618762
Qwen/Qwen3-14B,base,jews,absent,8,absent,0.41063724444793154,0.08607181805576439
Qwen/Qwen3-14B,base,white people,absent,2,absent,0.4688954625401769,0.07916617583495357
Qwen/Qwen3-14B,base,lgbtq+ people,absent,2,absent,0.5984725028544933,0.06762543990498193
Qwen/Qwen3-14B,base,christians,absent,8,absent,0.27125083335169087,0.06324365239649776
Qwen/Qwen3-14B,base,latinx people,Ctx_2,1,absent,0.3494910328864335,0.057744039503181736
Qwen/Qwen3-14B,base,muslims,absent,0,absent,0.33325641224155195,0.09944237621304436
Qwen/Qwen3-14B,base,women,absent,6,absent,0.4201531205941607,0.08720089028856574
Qwen/Qwen3-14B,base,women,Ctx_0,1,absent,0.3168740416499409,0.0640063590998225
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,muslims,Ctx_4,5,absent,0.2846994303368233,0.09933978468261431
Qwen/Qwen3-14B,base,men,Ctx_1,4,absent,0.2950588672368734,0.069328966545926
Qwen/Qwen3-14B,base,white people,Ctx_4,4,absent,0.5082430760781687,0.09330562056088905
Qwen/Qwen3-14B,base,christians,absent,0,absent,0.28111742595742056,0.07885540901726056
Qwen/Qwen3-14B,base,black people,absent,4,absent,0.4535184969773164,0.11905549580567697
Qwen/Qwen3-14B,base,black people,absent,2,absent,0.5405112478110168,0.08761250637895834
Qwen/Qwen3-14B,base,white people,Ctx_2,2,absent,0.4226922152994631,0.05591368380535725
Qwen/Qwen3-14B,base,women,Ctx_4,4,absent,0.4277118779159523,0.08346609222204394
Qwen/Qwen3-14B,base,asian people,Ctx_2,0,absent,0.3461548418880583,0.06045108008613739
Qwen/Qwen3-14B,base,jews,absent,1,absent,0.28962440719945476,0.05741210031899043
Qwen/Qwen3-14B,base,white people,Ctx_1,7,absent,0.2840800565910769,0.06942531496697452
Qwen/Qwen3-14B,base,women,Ctx_4,1,absent,0.3323486706874034,0.07531890738234161
Qwen/Qwen3-14B,base,lgbtq+ people,absent,8,absent,0.5109972003343943,0.07936836788933414
Qwen/Qwen3-14B,base,jews,Ctx_2,7,absent,0.3155864473801475,0.06645038619528607
Qwen/Qwen3-14B,base,asian people,Ctx_1,4,absent,0.29396382421702594,0.08039729030757242
Qwen/Qwen3-14B,base,jews,Ctx_3,3,absent,0.3421930538730936,0.08112574833620942
Qwen/Qwen3-14B,base,christians,Ctx_0,5,absent,0.19050437995084413,0.06268008225500594
Qwen/Qwen3-14B,base,latinx people,absent,8,absent,0.4269743282963206,0.0777218923185969
Qwen/Qwen3-14B,base,black people,Ctx_4,9,absent,0.4091483311610179,0.11435692564533959
Qwen/Qwen3-14B,base,christians,Ctx_3,3,absent,0.22501968330628164,0.05586785348374295
Qwen/Qwen3-14B,base,black people,Ctx_4,5,absent,0.4076923046026144,0.11618861096974871
Qwen/Qwen3-14B,base,asian people,Ctx_3,7,absent,0.3302801557041861,0.07998366622904372
Qwen/Qwen3-14B,base,women,absent,7,absent,0.38303893025930935,0.07972256019462126
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_1,1,absent,0.38735990615578386,0.06495542194680175
Qwen/Qwen3-14B,base,muslims,absent,2,absent,0.42298239093643053,0.08253407926645759
Qwen/Qwen3-14B,base,white people,absent,6,absent,0.41955601929633823,0.09471982574780355
Qwen/Qwen3-14B,base,white people,Ctx_1,1,absent,0.2787940235243545,0.062056687100383194
Qwen/Qwen3-14B,base,women,absent,8,absent,0.35857093441593757,0.07929955369256059
Qwen/Qwen3-14B,base,black people,Ctx_1,9,absent,0.3513777818497237,0.09264848282283565
Qwen/Qwen3-14B,base,white people,absent,7,absent,0.3875334597117192,0.08944135541286233
Qwen/Qwen3-14B,base,black people,Ctx_0,5,absent,0.36920808835162056,0.10758279922240664
Qwen/Qwen3-14B,base,women,Ctx_3,0,absent,0.38707230725624897,0.08300546742040106
Qwen/Qwen3-14B,base,jews,Ctx_0,1,absent,0.34370034320039433,0.07994281174714558
Qwen/Qwen3-14B,base,muslims,Ctx_4,1,absent,0.3205346380984103,0.09062249891094741
Qwen/Qwen3-14B,base,jews,absent,0,absent,0.4079059058794746,0.10675409946668317
Qwen/Qwen3-14B,base,christians,absent,4,absent,0.27378046428700825,0.07492082448753754
Qwen/Qwen3-14B,base,white people,absent,4,absent,0.3770270512268708,0.10323786769156833
Qwen/Qwen3-14B,base,black people,absent,7,absent,0.4462231229599174,0.10083833763541189
Qwen/Qwen3-14B,base,christians,Ctx_4,2,absent,0.36909904583796366,0.05512173599621536
Qwen/Qwen3-14B,base,men,absent,9,absent,0.2842532055167196,0.058640883534834896
Qwen/Qwen3-14B,base,jews,absent,0,absent,0.4079059058794746,0.10675409946668317
Qwen/Qwen3-14B,base,white people,Ctx_2,5,absent,0.30409116752154836,0.06835390257863443
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_1,8,absent,0.3872644319548621,0.081919824934716
Qwen/Qwen3-14B,base,jews,absent,4,absent,0.40700875956553956,0.11050070974468547
Qwen/Qwen3-14B,base,muslims,absent,8,absent,0.32026428919475713,0.0824537929427959
Qwen/Qwen3-14B,base,white people,Ctx_2,2,absent,0.4226922152994631,0.05591368380535725
Qwen/Qwen3-14B,base,muslims,Ctx_0,4,absent,0.2849108622753405,0.08746879194633342
Qwen/Qwen3-14B,base,men,absent,7,absent,0.37946851312129704,0.07313653366901543
Qwen/Qwen3-14B,base,black people,absent,7,absent,0.4462231229599174,0.10083833763541189
Qwen/Qwen3-14B,base,christians,Ctx_0,0,absent,0.2184512043321455,0.06016557611003496
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,5,absent,0.4888685422616678,0.10194299166215769
Qwen/Qwen3-14B,base,christians,absent,2,absent,0.3559987179867856,0.061546840420388035
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,black people,absent,3,absent,0.28005402360682013,0.07097859010144321
Qwen/Qwen3-14B,base,lgbtq+ people,absent,3,absent,0.3762862071081683,0.06946656165901668
Qwen/Qwen3-14B,base,black people,Ctx_0,6,absent,0.53367321224542,0.102229106806186
Qwen/Qwen3-14B,base,christians,Ctx_1,9,absent,0.19206755498687067,0.05231335701889888
Qwen/Qwen3-14B,base,white people,absent,9,absent,0.28112363776152915,0.06524517278832895
Qwen/Qwen3-14B,base,lgbtq+ people,Ctx_3,4,absent,0.5838974000097396,0.0837199629811623
Qwen/Qwen3-14B,base,black people,Ctx_2,3,absent,0.37090416377908114,0.07800660468616348
Qwen/Qwen3-14B,base,latinx people,Ctx_0,9,absent,0.3627273381293357,0.07836277543132915
Qwen/Qwen3-14B,base,men,absent,7,absent,0.37946851312129704,0.07313653366901543
Qwen/Qwen3-14B,base,muslims,Ctx_1,1,absent,0.2361561928962444,0.06491871506510521
Qwen/Qwen3-14B,base,christians,Ctx_2,8,absent,0.2508907706977369,0.050746077366537856
Qwen/Qwen3-14B,base,christians,Ctx_0,5,absent,0.19050437995084413,0.06268008225500594
Qwen/Qwen3-14B,base,latinx people,absent,6,absent,0.45764703676104546,0.08364713619641234
Qwen/Qwen3-14B,base,lgbtq+ people,absent,4,absent,0.5430801000681009,0.1079314667242083
Qwen/Qwen3-14B,base,muslims,absent,7,absent,0.33043737351536395,0.09117126925610214
Qwen/Qwen3-14B,base,men,absent,5,absent,0.3824192052846914,0.077398211783955
Qwen/Qwen3-14B,base,jews,Ctx_1,7,absent,0.31989095610630763,0.07710832823426943
Qwen/Qwen3-14B,base,christians,Ctx_2,8,absent,0.2508907706977369,0.050746077366537856
Qwen/Qwen3-14B,base,lgbtq+ people,absent,5,absent,0.5337700097410528,0.09097954518459704
Qwen/Qwen3-14B,base,men,absent,0,absent,0.37710514767570896,0.0844208542116219
Qwen/Qwen3-14B,base,latinx people,absent,1,absent,0.34297785702141914,0.0557442358528996
Qwen/Qwen3-14B,base,latinx people,absent,9,absent,0.3394933136406581,0.06577430839923887
Qwen/Qwen3-14B,base,black people,Ctx_4,9,absent,0.4091483311610179,0.11435692564533959
