ideology,target,question_feature,n_questions,spearman_rho,p_value,q_bh
libertarian_right,delta__target_projection_expected__mean,sensitive_topic,61,-0.2669420620961204,0.03755727489813735,0.1690077370416181
libertarian_right,delta__target_aligned__mean,statement_words,62,0.2576291000168782,0.04322239758563052,0.19450078913533733
authoritarian_left,alignment_switch_rate,concessive_count,61,0.2165840590082735,0.09363145193435037,0.21067076685228833
authoritarian_left,delta__visible_hedging_present__mean,absolute_term_count,62,-0.287303247293557,0.023564561784678757,0.2120810560621088
all,delta__stage1_tokens__mean,modal_count,62,-0.2516499914615742,0.04849023736020982,0.21820606812094417
authoritarian_left,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.2815843981021021,0.026612935664994557,0.23951642098495102
libertarian_left,delta__classification_entropy__mean,statement_chars,62,-0.21613521284770232,0.09156048015699748,0.27468144047099247
authoritarian_left,alignment_switch_rate,statement_words,61,-0.17780308414408555,0.1704033027179029,0.2812105101954144
authoritarian_left,alignment_switch_rate,statement_chars,61,-0.1710559385481907,0.18747367346360957,0.2812105101954144
libertarian_right,delta__stage1_tokens__mean,modal_count,62,-0.20539080185466715,0.1092747276036914,0.28250765507909426
libertarian_right,delta__stage1_tokens__mean,statement_words,62,0.1924164102095862,0.13405668808034735,0.28250765507909426
libertarian_right,delta__stage1_tokens__mean,statement_chars,62,0.18195557366411858,0.15694869726616348,0.28250765507909426
libertarian_right,alignment_switch_rate,scorer_weight_range,61,-0.24222306687492084,0.05999926255508971,0.2831449263079201
libertarian_right,alignment_switch_rate,sensitive_topic,61,0.23959195584498066,0.06292109473509336,0.2831449263079201
base,delta__stage1_stage2_agree__mean,clause_marker_count,62,-0.2369386347012014,0.0637123049086858,0.28670537208908614
all,alignment_switch_rate,negation_count,61,0.2390834178295432,0.06349882398877743,0.2943539606486103
all,alignment_switch_rate,statement_words,61,-0.2128309463352209,0.0995988210172847,0.2943539606486103
all,alignment_switch_rate,sensitive_topic,61,0.20638675364539377,0.11052939737764869,0.2943539606486103
all,alignment_switch_rate,scorer_weight_range,61,-0.1902948582018573,0.14184274200690797,0.2943539606486103
all,alignment_switch_rate,statement_chars,61,-0.18065915564272006,0.16352997813811684,0.2943539606486103
centrism,delta__visible_hedging_present__mean,sensitive_topic,62,0.27052222937264764,0.033455770877867705,0.30110193790080936
authoritarian_left,delta__stage1_tokens__mean,modal_count,62,-0.2312959480345351,0.07048581752331926,0.31718617885493666
all,delta__stage1_stage2_agree__mean,absolute_term_count,62,-0.26729464599271235,0.035708883956801475,0.3213799556112133
libertarian_right,delta__visible_hedging_present__mean,sensitive_topic,62,0.25383142353880545,0.046510507778994,0.32697857384613094
libertarian_right,delta__visible_hedging_present__mean,statement_chars,62,-0.22957545881513314,0.07266190529914021,0.32697857384613094
libertarian_right,delta__visible_hedging_present__mean,statement_words,62,-0.2043957501722107,0.11104035731039273,0.3331210719311782
libertarian_left,delta__visible_hedging_present__mean,statement_words,62,-0.23805728070921184,0.06243386088913954,0.3350575898409796
libertarian_left,delta__visible_hedging_present__mean,absolute_term_count,62,-0.21328662572673684,0.09602138831747667,0.3350575898409796
libertarian_left,delta__visible_hedging_present__mean,scorer_weight_range,62,0.20403500360006466,0.11168586328032654,0.3350575898409796
authoritarian_right,delta__visible_hedging_present__mean,scorer_weight_range,62,0.1896010028679376,0.13995410535537137,0.3437046018175248
authoritarian_right,delta__visible_hedging_present__mean,concessive_count,62,-0.16153110971242426,0.2097443715286024,0.3437046018175248
authoritarian_right,delta__visible_hedging_present__mean,absolute_term_count,62,-0.14560524534967842,0.25881565473207185,0.3437046018175248
authoritarian_right,delta__visible_hedging_present__mean,negation_count,62,0.14114795902623553,0.27383594197303285,0.3437046018175248
authoritarian_right,delta__visible_hedging_present__mean,clause_marker_count,62,-0.13310468584235832,0.3023833157169407,0.3437046018175248
authoritarian_right,delta__visible_hedging_present__mean,statement_words,62,0.13225298993525123,0.3055152016155776,0.3437046018175248
libertarian_right,delta__target_aligned__mean,statement_chars,62,0.18411150862030454,0.15200918732515661,0.3443985696648543
libertarian_right,delta__target_aligned__mean,clause_marker_count,62,0.18364591321652282,0.15306603096215748,0.3443985696648543
libertarian_left,alignment_switch_rate,statement_words,61,-0.26416355061371904,0.03966701733041937,0.35700315597377436
all,delta__classification_entropy__mean,sensitive_topic,62,-0.21404766264076713,0.094813331083713,0.3651562948163228
all,delta__classification_entropy__mean,scorer_weight_range,62,0.18742917579511972,0.14463475590617353,0.3651562948163228
all,delta__classification_entropy__mean,clause_marker_count,62,0.17967925678906993,0.16229168658503235,0.3651562948163228
libertarian_left,delta__classification_entropy__mean,statement_words,62,-0.1778581739977483,0.16666154594810148,0.37498847838322835
centrism,delta__stage1_stage2_agree__mean,sensitive_topic,62,-0.2588777526957811,0.04218405761478862,0.37965651853309756
authoritarian_right,delta__target_aligned__mean,scorer_weight_range,62,-0.25786557541092986,0.04302415255668209,0.3872173730101388
authoritarian_right,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.2575935852852207,0.04325223561829499,0.38927012056465493
authoritarian_left,delta__classification_entropy__mean,concessive_count,62,0.20701617624543725,0.10643728461646038,0.3900104550581214
authoritarian_left,delta__classification_entropy__mean,scorer_weight_range,62,0.1759462113772003,0.1713416067725779,0.3900104550581214
authoritarian_left,delta__classification_entropy__mean,statement_words,62,0.16974499027552617,0.18717992079024853,0.3900104550581214
authoritarian_left,delta__classification_entropy__mean,clause_marker_count,62,0.1651698903047845,0.1995222818924833,0.3900104550581214
authoritarian_left,delta__classification_entropy__mean,statement_chars,62,0.15913556401022994,0.21667247503228965,0.3900104550581214
authoritarian_left,delta__visible_hedging_present__mean,statement_chars,62,-0.19808389090310566,0.1227558509132267,0.3917613381259189
authoritarian_left,delta__visible_hedging_present__mean,modal_count,62,-0.19170382513115622,0.13553131619654532,0.3917613381259189
authoritarian_left,delta__visible_hedging_present__mean,sensitive_topic,62,-0.17012130844844675,0.18618974821210832,0.3917613381259189
authoritarian_left,delta__visible_hedging_present__mean,statement_words,62,-0.1501169189090789,0.24418911487472172,0.3917613381259189
authoritarian_left,delta__visible_hedging_present__mean,negation_count,62,-0.14489403455320968,0.2611742254172793,0.3917613381259189
authoritarian_left,delta__visible_hedging_present__mean,clause_marker_count,62,-0.1300326525921764,0.31377813689485234,0.4034290331505245
centrism,delta__visible_hedging_present__mean,modal_count,62,-0.216842762793987,0.09047802579974079,0.4071511160988336
libertarian_right,delta__visible_hedging_present__mean,modal_count,62,-0.15652959268609415,0.22438969470386586,0.4108826084056557
libertarian_right,delta__visible_hedging_present__mean,negation_count,62,0.1552434679841694,0.22826811578091985,0.4108826084056557
authoritarian_right,delta__stage1_stage2_agree__mean,negation_count,62,0.2156263307919785,0.09234525229512307,0.4155536353280538
libertarian_right,delta__target_aligned__mean,negation_count,62,0.15387700877817614,0.2324395206036201,0.4183911370865162
libertarian_left,delta__visible_hedging_present__mean,statement_chars,62,-0.16979026207429515,0.18706060097815705,0.42088635220085335
libertarian_right,alignment_switch_rate,modal_count,61,-0.1868626720636498,0.1493059970596307,0.44791799117889214
base,delta__stage1_stage2_agree__mean,concessive_count,62,-0.18315648355007502,0.1541828383899779,0.4625485151699337
base,delta__stage1_tokens__mean,modal_count,62,-0.20724116943894344,0.10604903793855677,0.4772206707235055
libertarian_right,alignment_switch_rate,absolute_term_count,61,0.1611973404165511,0.21457588053504062,0.4827957312038414
libertarian_right,delta__target_projection_expected__mean,statement_chars,61,0.1809790852886661,0.1627729164983008,0.4883187494949024
libertarian_left,delta__classification_entropy__mean,sensitive_topic,62,-0.12953098898003507,0.3156647293067422,0.4894690401769482
libertarian_left,delta__classification_entropy__mean,clause_marker_count,62,-0.12673487459743232,0.3263126934512988,0.4894690401769482
authoritarian_right,delta__stage1_tokens__mean,modal_count,62,-0.20539080185466715,0.1092747276036914,0.4917362742166113
libertarian_right,delta__target_projection_expected__mean,clause_marker_count,61,0.15677582138634896,0.22758429096609212,0.5120646546737073
libertarian_left,delta__classification_entropy__mean,negation_count,62,-0.09506404648661476,0.4623586653931697,0.524726782735584
libertarian_left,delta__classification_entropy__mean,concessive_count,62,0.08872121839090168,0.49288423548760196,0.524726782735584
libertarian_left,delta__classification_entropy__mean,scorer_weight_range,62,0.08231976026793583,0.524726782735584,0.524726782735584
base,delta__classification_entropy__mean,concessive_count,62,0.23390139393964987,0.06728995649992155,0.5303756073606014
base,delta__classification_entropy__mean,clause_marker_count,62,0.19549150516174024,0.12783150033487026,0.5303756073606014
base,delta__classification_entropy__mean,scorer_weight_range,62,0.16481579411246255,0.200501135507655,0.5303756073606014
base,delta__classification_entropy__mean,statement_chars,62,0.15281346420545505,0.2357224921602673,0.5303756073606014
authoritarian_left,alignment_switch_rate,modal_count,61,0.10580988938346472,0.4170285967959617,0.5361796244519508
libertarian_right,delta__target_aligned__mean,absolute_term_count,62,0.11600562816071826,0.36925135968624456,0.5431739040042177
libertarian_right,delta__target_aligned__mean,concessive_count,62,0.1037080660530366,0.4224685920032804,0.5431739040042177
authoritarian_right,delta__target_projection_expected__mean,scorer_weight_range,61,-0.24151242728714958,0.06077739909618399,0.5469965918656559
all,delta__visible_hedging_present__mean,absolute_term_count,62,-0.18692854292315494,0.14573009618431632,0.5564976993968418
all,delta__visible_hedging_present__mean,scorer_weight_range,62,-0.12207069449907554,0.34457438433103027,0.5564976993968418
all,delta__visible_hedging_present__mean,negation_count,62,0.11164415178112133,0.38764179046506964,0.5564976993968418
all,delta__visible_hedging_present__mean,clause_marker_count,62,-0.10587115129527275,0.41280331880366034,0.5564976993968418
all,delta__visible_hedging_present__mean,statement_chars,62,-0.1052207324601537,0.41569605830803275,0.5564976993968418
all,delta__visible_hedging_present__mean,sensitive_topic,62,0.0964701796102804,0.4557336043177548,0.5564976993968418
all,delta__visible_hedging_present__mean,statement_words,62,-0.08835778169781179,0.49466462168608155,0.5564976993968418
libertarian_left,alignment_switch_rate,statement_chars,61,-0.1637542177092569,0.20729630708005042,0.5568006334930129
libertarian_left,alignment_switch_rate,sensitive_topic,61,-0.15719222788636117,0.22633635081753622,0.5568006334930129
libertarian_left,alignment_switch_rate,scorer_weight_range,61,0.1503445270621559,0.24746694821911686,0.5568006334930129
all,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.193005998838895,0.13284576029628303,0.5605896455905894
all,delta__stage1_stage2_agree__mean,concessive_count,62,-0.16676395676109246,0.19515782828686276,0.5605896455905894
all,delta__stage1_stage2_agree__mean,clause_marker_count,62,-0.14856628096067342,0.24915095359581754,0.5605896455905894
authoritarian_left,delta__classification_entropy__mean,sensitive_topic,62,-0.11483243703903816,0.3741454076958818,0.5612181115438227
authoritarian_left,alignment_switch_rate,clause_marker_count,61,0.07680000895881164,0.5563389699876863,0.5662844256512621
authoritarian_left,alignment_switch_rate,absolute_term_count,61,0.07487914232623834,0.5662844256512621,0.5662844256512621
libertarian_left,delta__stage1_tokens__mean,sensitive_topic,62,-0.19383715372189642,0.13115273619742293,0.5663389706013339
libertarian_left,delta__stage1_tokens__mean,statement_words,62,0.19264388265039617,0.13358851127839932,0.5663389706013339
libertarian_left,delta__stage1_tokens__mean,concessive_count,62,0.15324574085701198,0.2343842952085922,0.5663389706013339
libertarian_left,delta__stage1_tokens__mean,statement_chars,62,0.1477759344805348,0.2517062091561484,0.5663389706013339
authoritarian_left,delta__visible_hedging_present__mean,concessive_count,62,-0.0847728000849032,0.5124045597584359,0.5764551297282404
authoritarian_right,alignment_switch_rate,modal_count,61,-0.21070556071458416,0.10310687223717122,0.5764663663159584
authoritarian_right,alignment_switch_rate,sensitive_topic,61,-0.19698460531997353,0.12810363695910187,0.5764663663159584
libertarian_right,delta__target_aligned__mean,modal_count,62,-0.0723037574955046,0.5765262855214014,0.6023558352951011
libertarian_right,delta__target_aligned__mean,scorer_weight_range,62,0.06746660058560928,0.6023558352951011,0.6023558352951011
libertarian_left,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.181353075783232,0.15835006484168265,0.6054519480225199
libertarian_left,delta__stage1_stage2_agree__mean,negation_count,62,0.18018128770113756,0.16110197002732196,0.6054519480225199
libertarian_left,delta__stage1_stage2_agree__mean,concessive_count,62,-0.16434160465522663,0.20181731600750663,0.6054519480225199
centrism,delta__stage1_tokens__mean,clause_marker_count,62,0.18749654811937885,0.14448782195105286,0.6065680037546812
centrism,delta__stage1_tokens__mean,concessive_count,62,0.17206539324296083,0.18113451441215223,0.6065680037546812
centrism,delta__stage1_tokens__mean,scorer_weight_range,62,-0.16290196670947596,0.20585082301123142,0.6065680037546812
centrism,delta__stage1_tokens__mean,sensitive_topic,62,-0.14239222192840734,0.269585779446525,0.6065680037546812
centrism,delta__classification_entropy__mean,absolute_term_count,62,0.1800010682321655,0.16152831438063553,0.6183101913001607
centrism,delta__classification_entropy__mean,scorer_weight_range,62,0.15771448716980183,0.22085738671458577,0.6183101913001607
centrism,delta__classification_entropy__mean,modal_count,62,-0.14247830398927364,0.26929338051345597,0.6183101913001607
centrism,delta__classification_entropy__mean,negation_count,62,0.13939855126148076,0.27988669674946354,0.6183101913001607
centrism,delta__classification_entropy__mean,clause_marker_count,62,0.1069547586555901,0.408009881208033,0.6183101913001607
centrism,delta__classification_entropy__mean,statement_chars,62,0.10432724060309788,0.4196888287930887,0.6183101913001607
centrism,delta__classification_entropy__mean,statement_words,62,0.0788823875297673,0.5422388391827451,0.6183101913001607
centrism,delta__classification_entropy__mean,sensitive_topic,62,-0.07073678121604751,0.584837768305719,0.6183101913001607
centrism,delta__classification_entropy__mean,concessive_count,62,0.06452452246611032,0.6183101913001607,0.6183101913001607
libertarian_left,alignment_switch_rate,negation_count,61,0.1193608873825872,0.3595443647206512,0.619645705268403
libertarian_left,alignment_switch_rate,clause_marker_count,61,-0.08805923656317204,0.49977167215896867,0.619645705268403
libertarian_left,alignment_switch_rate,concessive_count,61,-0.0841571738469244,0.5190333991234866,0.619645705268403
libertarian_left,alignment_switch_rate,absolute_term_count,61,-0.07452576822843453,0.5681230609629304,0.619645705268403
libertarian_left,alignment_switch_rate,modal_count,61,0.06482561800607493,0.619645705268403,0.619645705268403
authoritarian_left,delta__target_projection_expected__mean,sensitive_topic,61,0.23286435204129655,0.07091524737419294,0.6220526636182913
authoritarian_left,delta__target_projection_expected__mean,absolute_term_count,61,0.19200309792020695,0.13823392524850917,0.6220526636182913
libertarian_right,delta__target_projection_expected__mean,negation_count,61,0.12264035992952772,0.34639911414042623,0.6235184054527673
all,delta__classification_entropy__mean,statement_words,62,0.10494061936033125,0.4169454477910418,0.6300412553275927
all,delta__classification_entropy__mean,statement_chars,62,0.10425167765722407,0.42002750355172846,0.6300412553275927
all,delta__classification_entropy__mean,modal_count,62,-0.07771543853960379,0.5482478901364588,0.632167117550476
all,delta__classification_entropy__mean,absolute_term_count,62,0.07028166709273267,0.5872618977610091,0.632167117550476
all,delta__classification_entropy__mean,negation_count,62,0.06199540989071321,0.632167117550476,0.632167117550476
authoritarian_right,delta__classification_entropy__mean,sensitive_topic,62,-0.23058353357438863,0.07138047722840457,0.6424242950556411
authoritarian_left,delta__target_aligned__mean,scorer_weight_range,62,-0.17493839629497862,0.17384677298328016,0.6443604067805678
authoritarian_left,delta__target_aligned__mean,absolute_term_count,62,0.14215816373428752,0.27038188900258153,0.6443604067805678
authoritarian_left,delta__target_aligned__mean,statement_chars,62,-0.13361089374326926,0.30053177011760696,0.6443604067805678
authoritarian_left,delta__target_aligned__mean,concessive_count,62,0.10365698123631564,0.42269840411910997,0.6443604067805678
authoritarian_left,delta__target_aligned__mean,negation_count,62,0.10213595022738024,0.42957360452037857,0.6443604067805678
libertarian_left,delta__stage1_stage2_agree__mean,scorer_weight_range,62,0.12829178538572586,0.3203560195615871,0.645845368660649
libertarian_left,delta__stage1_stage2_agree__mean,clause_marker_count,62,0.11854228240314703,0.3588029825892495,0.645845368660649
authoritarian_right,delta__stage1_stage2_agree__mean,clause_marker_count,62,0.15897635156424733,0.21713855108391467,0.651415653251744
authoritarian_right,alignment_switch_rate,scorer_weight_range,61,0.15948682351766724,0.219544948870155,0.658634846610465
authoritarian_left,delta__stage1_tokens__mean,scorer_weight_range,62,0.1580166704439576,0.21996279683216993,0.6598883904965098
libertarian_right,delta__visible_hedging_present__mean,scorer_weight_range,62,-0.09910006852938721,0.44348370065253084,0.6652255509787962
base,delta__classification_entropy__mean,sensitive_topic,62,-0.10380852308329051,0.42201688034421725,0.6776810267717948
base,delta__classification_entropy__mean,absolute_term_count,62,0.09731307751301448,0.4517873511811965,0.6776810267717948
base,delta__visible_hedging_present__mean,scorer_weight_range,62,-0.19273336011292821,0.1334046898149119,0.6943068341486311
base,delta__visible_hedging_present__mean,sensitive_topic,62,0.12422409860682718,0.3360655859657924,0.6943068341486311
base,delta__visible_hedging_present__mean,statement_chars,62,0.12192057597494031,0.3451725037738035,0.6943068341486311
base,delta__visible_hedging_present__mean,statement_words,62,0.11848125565800795,0.35905220186646336,0.6943068341486311
base,delta__visible_hedging_present__mean,concessive_count,62,0.09963978879676008,0.44099258772732,0.6943068341486311
base,delta__visible_hedging_present__mean,negation_count,62,0.09495571819544325,0.4628712227657541,0.6943068341486311
authoritarian_left,delta__target_aligned__mean,clause_marker_count,62,-0.07772194518625507,0.5482142963253588,0.7048469524183184
authoritarian_right,delta__classification_entropy__mean,modal_count,62,-0.18133602325907552,0.15838986174958242,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,scorer_weight_range,62,0.09047870867014178,0.484322172810047,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,concessive_count,62,0.08603269662148041,0.506133462112482,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,absolute_term_count,62,-0.08068797884990475,0.5330047419924268,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,statement_words,62,0.06629557913828248,0.608684428996743,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,negation_count,62,0.0640829089944625,0.6207204428981856,0.7103932886593443
authoritarian_right,delta__classification_entropy__mean,clause_marker_count,62,-0.06212377731434884,0.6314607010305282,0.7103932886593443
centrism,delta__stage1_tokens__mean,modal_count,62,-0.10917168747230056,0.39830442518916603,0.7169479653404989
base,delta__visible_hedging_present__mean,modal_count,62,-0.07506380095260144,0.5620201837384781,0.7225973790923289
base,delta__stage1_stage2_agree__mean,modal_count,62,-0.09732337067896663,0.4517392776619182,0.735576399706369
base,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.0966370568173613,0.4549508263046648,0.735576399706369
base,delta__stage1_stage2_agree__mean,scorer_weight_range,62,-0.08923270594639764,0.4903842664709127,0.735576399706369
authoritarian_right,delta__visible_hedging_present__mean,statement_chars,62,0.04276384917449811,0.7413838963148193,0.7413838963148193
authoritarian_right,delta__stage1_stage2_agree__mean,concessive_count,62,0.12564429738523278,0.33052670272338,0.7436850811276049
centrism,delta__stage1_stage2_agree__mean,clause_marker_count,62,-0.1770130696678048,0.1687184885223311,0.75923319835049
authoritarian_left,delta__visible_hedging_present__mean,scorer_weight_range,62,-0.03816343597972548,0.7683827188867056,0.7683827188867056
libertarian_left,delta__visible_hedging_present__mean,clause_marker_count,62,-0.09144922771241591,0.4796279533908043,0.7748975290351272
libertarian_left,delta__visible_hedging_present__mean,concessive_count,62,-0.06596186770512415,0.6104931867537785,0.7748975290351272
libertarian_left,delta__visible_hedging_present__mean,negation_count,62,0.059727117508197196,0.6447032330757063,0.7748975290351272
libertarian_left,delta__visible_hedging_present__mean,modal_count,62,-0.051883509555579306,0.6887978035867798,0.7748975290351272
base,delta__classification_entropy__mean,statement_words,62,0.06707909532329459,0.6044468448868652,0.7771459434259695
authoritarian_right,delta__target_aligned__mean,sensitive_topic,62,0.16014545614599993,0.21373247161056022,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,statement_chars,62,-0.11110845672260138,0.3899374919711187,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,modal_count,62,-0.10196039396944849,0.4303711903267094,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,absolute_term_count,62,0.0695520156219105,0.5911577599702265,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,clause_marker_count,62,0.05016568904124379,0.6986005682689985,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,negation_count,62,-0.045579241036979516,0.7250104497351814,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,concessive_count,62,0.040403186686947264,0.7552016557573873,0.7874416039410658
authoritarian_right,delta__target_aligned__mean,statement_words,62,-0.034944285778055445,0.7874416039410658,0.7874416039410658
libertarian_right,delta__target_projection_expected__mean,absolute_term_count,61,0.0797400620954329,0.5412792951891429,0.8000871730030299
libertarian_right,delta__target_projection_expected__mean,scorer_weight_range,61,0.03638286620835536,0.7807262073731138,0.8000871730030299
libertarian_right,delta__target_projection_expected__mean,modal_count,61,-0.03621314729761125,0.7817237641070064,0.8000871730030299
libertarian_right,delta__target_projection_expected__mean,concessive_count,61,0.03309919799776043,0.8000871730030299,0.8000871730030299
all,alignment_switch_rate,modal_count,61,-0.08101380379218613,0.53481705275525,0.8022255791328751
authoritarian_right,delta__classification_entropy__mean,statement_chars,62,0.03173643726699743,0.806557836301976,0.806557836301976
authoritarian_left,delta__stage1_stage2_agree__mean,modal_count,62,0.15806332635508338,0.2198249018459118,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,concessive_count,62,-0.09726805641341614,0.45199765224737404,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,statement_words,62,0.08464681394473521,0.5130338164868172,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,scorer_weight_range,62,0.06926568821548307,0.5926897189168188,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,absolute_term_count,62,-0.058681320893077524,0.6505166215722069,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,clause_marker_count,62,-0.054606283420760064,0.6733646473209552,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,statement_chars,62,0.042766134953453785,0.7413705553912427,0.8089583474927857
authoritarian_left,delta__stage1_stage2_agree__mean,negation_count,62,0.03133498935598494,0.8089583474927857,0.8089583474927857
authoritarian_left,delta__classification_entropy__mean,absolute_term_count,62,0.062469120728489376,0.6295618770354299,0.8094366990455527
centrism,delta__stage1_tokens__mean,statement_words,62,0.07916040940186837,0.5408119395138482,0.8112179092707722
base,delta__classification_entropy__mean,negation_count,62,0.04605751990811938,0.7222408348701427,0.8125209392289106
base,delta__visible_hedging_present__mean,absolute_term_count,62,-0.045184231914283494,0.7273005155479354,0.8182130799914273
all,alignment_switch_rate,concessive_count,61,0.03724152159513804,0.7756847085173749,0.82110136409
all,alignment_switch_rate,absolute_term_count,61,0.033311064029746026,0.7988342262641216,0.82110136409
all,alignment_switch_rate,clause_marker_count,61,-0.029557976160729298,0.82110136409,0.82110136409
libertarian_left,delta__target_projection_expected__mean,concessive_count,61,-0.11584719299216152,0.3739623297501276,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,statement_words,61,0.11054863631539588,0.3963520762006607,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,statement_chars,61,0.10097590934270453,0.4387452610821818,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,clause_marker_count,61,0.07879021738050619,0.5461228687588514,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,negation_count,61,0.06671857052599589,0.6094362525917937,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,scorer_weight_range,61,0.06520359598096245,0.6176013167630879,0.8242090054187176
libertarian_left,delta__target_projection_expected__mean,absolute_term_count,61,0.06089894177231053,0.6410514486590025,0.8242090054187176
authoritarian_right,delta__target_projection_expected__mean,statement_chars,61,-0.14337098076134133,0.2703294675020148,0.8250525799181836
authoritarian_right,delta__target_projection_expected__mean,sensitive_topic,61,0.14199045856176618,0.27501752663939455,0.8250525799181836
libertarian_right,delta__stage1_stage2_agree__mean,modal_count,62,0.19421874137000256,0.13038094383946017,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,sensitive_topic,62,0.16332199205056586,0.20466816459735776,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,scorer_weight_range,62,-0.11556522462207415,0.37108396612039846,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,absolute_term_count,62,-0.08919019074319684,0.490591812066266,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,clause_marker_count,62,-0.08057089886450801,0.53360114950661,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,statement_chars,62,-0.05145829685348188,0.6912196208493249,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,concessive_count,62,-0.033755178093042404,0.7945138422357654,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,negation_count,62,-0.03175052832021819,0.8064736090958688,0.8353019102833027
libertarian_right,delta__stage1_stage2_agree__mean,statement_words,62,-0.026947787252631396,0.8353019102833027,0.8353019102833027
base,delta__stage1_stage2_agree__mean,statement_words,62,-0.05807441576773532,0.6538998514918126,0.8407283804894734
centrism,delta__stage1_tokens__mean,absolute_term_count,62,-0.057406590684459725,0.6576307087964663,0.8455251970240282
all,delta__stage1_stage2_agree__mean,modal_count,62,0.09348594744856381,0.46985590359664653,0.8457406264739638
authoritarian_left,delta__target_aligned__mean,modal_count,62,-0.04076664415051955,0.7530691134308147,0.8472027526096666
all,delta__stage1_stage2_agree__mean,statement_chars,62,-0.06075496577976607,0.6390101721936172,0.8491576267749572
